bucket,density,trial,start,end,mass,rate,removal
1.1,1,first,197.4,54.57,0.1229951,5226.825482,142.83
1.2,1,first,221.65,129.75,0.1196532,2237.675378,91.9
1.3,1,first,237.1,89.745,0.10361208,4688.206614,147.355
1.4,1,first,203.4,93.515,0.11898482,3265.343564,109.885
2.1,2,first,200.55,115.75,0.21390796,1284.736901,84.8
2.2,2,first,202.15,150.35,0.24866372,595.2699627,51.8
2.3,2,first,182.05,84.485,0.2259388,1698.927698,97.565
2.4,2,first,210.1,135.7,0.21992338,993.8394022,74.4
4.1,4,first,256.05,167,0.50735314,421.184863,89.05
4.2,4,first,216.6,168.5,0.47727604,263.0726914,48.1
4.3,4,first,179.1,127.65,0.42246888,400.8013151,51.45
4.4,4,first,176.35,144.8,0.43583648,226.1366198,31.55
8.1,8,first,227.25,166,0.92180146,170.3528137,61.25
8.2,8,first,237.8,202.7,0.94318962,84.66109434,35.1
8.3,8,first,194.25,148.45,0.88838246,151.3412298,45.8
8.4,8,first,254.35,176.65,0.89640302,203.33538,77.7
16.1,16,first,138.75,92.94,1.82956694,109.5121529,45.81
16.2,16,first,77.77,51.81333333,1.82154638,111.4734823,25.95666667
16.3,16,first,156.45,92.47,1.87635354,140.1260987,63.98
16.4,16,first,190.4,112,1.84828158,143.5463776,78.4
32.1,32,first,198.95,184.25,3.68052204,10.42786933,14.7
32.2,32,first,203.1,113.3,3.7687482,77.43410671,89.8
32.3,32,first,164.65,48.65,3.574918,170.5172259,116
32.4,32,first,276.25,145.3,3.60967376,88.99774952,130.95
64.1,64,first,132.8333333,51.64,7.4439232,63.46106873,81.19333333
64.2,64,first,192.35,46.95,7.15785656,98.50947778,145.4
64.3,64,first,210.8666667,32,6.82767684,138.076989,178.8666667
64.4,64,first,168.9333333,33.59,6.94798524,116.2405863,135.3433333
control1,control,first,202.75,164.95,,,
control2,control,first,191.9667,167.35,,,
