ID,density,batch,Position,individual,ogno,size,mass,no,type,zero
1,32,32.2,bottom,b1,0,29,0.1196532,0,pseudofaeces,1
2,32,32.2,bottom,b2,0,27.6,0.11029588,0,pseudofaeces,1
3,32,32.3,bottom,b1,0,28.8,0.11831644,0,pseudofaeces,1
4,32,32.3,bottom,b2,0,29.5,0.1229951,0,pseudofaeces,1
5,32,32.3,bottom,b3,0,31.4,0.13569432,0,pseudofaeces,1
6,32,32.4,bottom,b2,0,27.5,0.1096275,0,pseudofaeces,1
7,32,32.5,bottom,b1,0,28.8,0.11831644,0,pseudofaeces,1
8,32,32.5,bottom,b2,0,28.8,0.11831644,0,pseudofaeces,1
9,32,32.5,bottom,b3,0,27.6,0.11029588,0,pseudofaeces,1
10,64,64.1,bottom,b2,0,25.5,0.0962599,0,pseudofaeces,1
11,64,64.1,bottom,b3,0,25.5,0.0962599,0,pseudofaeces,1
12,64,64.3,bottom,b1,0,27.5,0.1096275,0,pseudofaeces,1
13,64,64.3,bottom,b2,0,28.9,0.11898482,0,pseudofaeces,1
14,64,64.4,bottom,b2,0,29.4,0.12232672,0,pseudofaeces,1
15,64,64.5,bottom,b1,0,24.9,0.09224962,0,pseudofaeces,1
16,64,64.5,bottom,b2,0,27.5,0.1096275,0,pseudofaeces,1
17,32,32.2,top,t1,0,32.5,0.1430465,0,pseudofaeces,1
18,32,32.2,top,t2,0,31.6,0.13703108,0,pseudofaeces,1
19,32,32.2,top,t3,0,27.4,0.10895912,0,pseudofaeces,1
20,32,32.3,top,t1,0,28,0.1129694,0,pseudofaeces,1
21,32,32.3,top,t2,0,33.2,0.14772516,0,pseudofaeces,1
22,32,32.3,top,t3,0,29.9,0.12566862,0,pseudofaeces,1
23,32,32.4,top,t3,0,27.9,0.11230102,0,pseudofaeces,1
24,32,32.5,top,t1,0,29.4,0.12232672,0,pseudofaeces,1
25,32,32.5,top,t2,0,26.3,0.10160694,0,pseudofaeces,1
26,32,32.5,top,t3,0,28.4,0.11564292,0,pseudofaeces,1
27,64,64.1,top,t1,0,30.1,0.12700538,0,pseudofaeces,1
28,64,64.1,top,t2,0,28.4,0.11564292,0,pseudofaeces,1
29,64,64.2,top,t1,0,30.4,0.12901052,0,pseudofaeces,1
30,64,64.3,top,t1,0,26,0.0996018,0,pseudofaeces,1
31,64,64.4,top,t2,0,25.7,0.09759666,0,pseudofaeces,1
32,64,64.5,top,t3,0,24.7,0.09091286,0,pseudofaeces,1
33,1,1.2,,,0,26.3,0.10160694,0,pseudofaeces,1
34,32,32.4,bottom,b3,1,32.7,0.14438326,6.926010675,pseudofaeces,0
35,32,32.1,bottom,b1,1,32.6,0.14371488,6.958221723,pseudofaeces,0
36,64,64.1,bottom,b1,1,32.5,0.1430465,6.990733782,pseudofaeces,0
37,32,32.4,top,t1,1,32.2,0.14104136,7.090118813,pseudofaeces,0
38,1,1.5,,,1,31.4,0.13569432,7.369505223,pseudofaeces,0
39,64,64.5,top,t2,1,30.9,0.13235242,7.555585308,pseudofaeces,0
40,1,1.4,,,1,29.4,0.12232672,8.174828852,pseudofaeces,0
41,32,32.1,top,t1,1,28,0.1129694,8.8519546,pseudofaeces,0
42,32,32.2,bottom,b3,1,27.8,0.11163264,8.957953516,pseudofaeces,0
43,64,64.4,top,t1,1,27.5,0.1096275,9.121798819,pseudofaeces,0
44,64,64.5,bottom,b3,1,26.5,0.1029437,9.714047581,pseudofaeces,0
45,64,64.4,bottom,b1,1,24.8,0.09158124,10.91926687,pseudofaeces,0
46,64,64.3,top,t3,1,24.3,0.08823934,11.33281369,pseudofaeces,0
47,64,64.4,bottom,b3,1,23.9,0.08556582,11.68690956,pseudofaeces,0
48,32,32.4,top,t2,1,23.8,0.08489744,11.77891819,pseudofaeces,0
49,64,64.1,top,t3,2,31,0.1330208,15.03524261,pseudofaeces,0
50,64,64.5,top,t1,2,30,0.126337,15.8306751,pseudofaeces,0
51,32,32.1,top,t2,2,29.5,0.1229951,16.26081039,pseudofaeces,0
52,64,64.3,top,t2,2,28.4,0.11564292,17.29461691,pseudofaeces,0
53,32,32.4,bottom,b1,2,27.9,0.11230102,17.80927724,pseudofaeces,0
54,64,64.2,top,t2,2,27.1,0.10695398,18.69963137,pseudofaeces,0
55,32,32.1,bottom,b2,2,26.9,0.10561722,18.93630603,pseudofaeces,0
56,64,64.2,bottom,b2,2,25.3,0.09492314,21.06967806,pseudofaeces,0
57,64,64.3,bottom,b3,2,23.2,0.08088716,24.72580321,pseudofaeces,0
58,32,32.1,top,t3,3,31.7,0.13769946,21.78657781,pseudofaeces,0
59,64,64.4,top,t3,3,27.5,0.1096275,27.36539646,pseudofaeces,0
60,1,1.1,,,4,30.3,0.12834214,31.16669241,pseudofaeces,0
61,64,64.2,bottom,b1,4,30.2,0.12767376,31.32985196,pseudofaeces,0
62,32,32.1,bottom,b3,4,29.4,0.12232672,32.69931541,pseudofaeces,0
63,64,64.2,bottom,b3,7,26.7,0.10428046,67.12666975,pseudofaeces,0
64,64,64.2,top,t3,7,25.3,0.09492314,73.7438732,pseudofaeces,0
65,1,1.3,,,8,29.4,0.12232672,65.39863081,pseudofaeces,0
