density,batch,Position,individual,OG-size,size,magnitude ,type
control,control1,,,10,104,10,faeces
control,control1,,,13,135.2,,faeces
control,control1,,,14,145.6,,faeces
control,control1,,,10,104,,faeces
control,control1,,,13,135.2,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,6,62.4,,faeces
control,control1,,,3,31.2,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,5,52,,faeces
control,control1,,,10,104,,faeces
control,control1,,,5,52,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,6,62.4,,faeces
control,control1,,,4,41.6,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,12,124.8,,faeces
control,control1,,,12,124.8,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,11,114.4,,faeces
control,control1,,,15,156,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,6,62.4,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,10,104,,faeces
control,control1,,,10,104,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,10,104,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,14,145.6,,faeces
control,control1,,,11,114.4,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,7,72.8,,faeces
control,control1,,,9,93.6,,faeces
control,control1,,,10,104,,faeces
control,control1,,,8,83.2,,faeces
control,control1,,,8,83.2,,faeces
control,control3,,,7,72.8,10,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,5,52,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,4,41.6,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,2,20.8,,faeces
control,control3,,,2,20.8,,faeces
control,control3,,,8,83.2,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,2,20.8,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,4,41.6,,faeces
control,control3,,,4,41.6,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,10,104,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,8,83.2,,faeces
control,control3,,,3,31.2,,faeces
control,control3,,,4,41.6,,faeces
control,control3,,,9,93.6,,faeces
control,control3,,,7,72.8,,faeces
control,control3,,,8,83.2,,faeces
control,control3,,,8,83.2,,faeces
control,control3,,,10,104,,faeces
singleton,1.1,,,5,52,10,faeces
singleton,1.1,,,6,62.4,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,7,72.8,,faeces
singleton,1.1,,,9,93.6,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,7,72.8,,faeces
singleton,1.1,,,6,62.4,,faeces
singleton,1.1,,,7,72.8,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,9,93.6,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,6,62.4,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,2,20.8,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,7,72.8,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,9,93.6,,faeces
singleton,1.1,,,7,72.8,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,9,93.6,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,5,52,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,8,83.2,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.1,,,6,62.4,,faeces
singleton,1.1,,,4,41.6,,faeces
singleton,1.1,,,3,31.2,,faeces
singleton,1.3,,,6,62.4,10,faeces
singleton,1.3,,,4,41.6,,faeces
singleton,1.3,,,3,31.2,,faeces
singleton,1.4,,,7,72.8,10,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,13,135.2,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,12,124.8,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,12,124.8,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,11,114.4,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,13,135.2,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,13,135.2,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,3,31.2,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,2,20.8,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,10,104,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,13,135.2,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,11,114.4,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,3,31.2,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,4,41.6,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,13,135.2,,faeces
singleton,1.4,,,5,52,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,8,83.2,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,9,93.6,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,6,62.4,,faeces
singleton,1.4,,,7,72.8,,faeces
singleton,1.4,,,7,72.8,,faeces
32,32.1,top,t1,15,156,,faeces
32,32.1,top,t1,4,41.6,,faeces
32,32.1,top,t1,15,156,,faeces
32,32.1,top,t2,14,145.6,,faeces
32,32.1,top,t2,5,52,,faeces
32,32.1,top,t2,4,41.6,,faeces
32,32.1,top,t2,7,72.8,,faeces
32,32.1,top,t2,5,52,,faeces
32,32.1,top,t2,5,52,,faeces
32,32.1,top,t3,8,83.2,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,6,62.4,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,8,83.2,,faeces
32,32.1,top,t3,7,72.8,,faeces
32,32.1,top,t3,8,83.2,,faeces
32,32.1,top,t3,3,31.2,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,4,41.6,,faeces
32,32.1,top,t3,4,41.6,,faeces
32,32.1,top,t3,3,31.2,,faeces
32,32.1,top,t3,2,20.8,,faeces
32,32.1,top,t3,6,62.4,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,3,31.2,,faeces
32,32.1,top,t3,4,41.6,,faeces
32,32.1,top,t3,9,93.6,,faeces
32,32.1,top,t3,4,41.6,,faeces
32,32.1,top,t3,2,20.8,,faeces
32,32.1,top,t3,4,41.6,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,top,t3,9,93.6,,faeces
32,32.1,top,t3,9,93.6,,faeces
32,32.1,top,t3,5,52,,faeces
32,32.1,bottom,b2,4,41.6,,faeces
32,32.1,bottom,b2,7,72.8,,faeces
32,32.1,bottom,b2,5,52,,faeces
32,32.1,bottom,b3,6,62.4,,faeces
32,32.1,bottom,b3,6,62.4,,faeces
32,32.1,bottom,b3,3,31.2,,faeces
32,32.1,bottom,b3,6,62.4,,faeces
32,32.3,bottom,b1,6,62.4,,faeces
32,32.3,bottom,b1,5,52,,faeces
32,32.3,bottom,b1,7,72.8,,faeces
32,32.3,bottom,b1,2,20.8,,faeces
32,32.3,bottom,b1,2,20.8,,faeces
32,32.3,bottom,b1,2,20.8,,faeces
32,32.3,bottom,b1,3,31.2,,faeces
32,32.3,bottom,b1,4,41.6,,faeces
32,32.3,bottom,b1,7,72.8,,faeces
32,32.3,bottom,b1,5,52,,faeces
32,32.3,bottom,b1,9,93.6,,faeces
32,32.3,bottom,b1,6,62.4,,faeces
32,32.3,bottom,b1,3,31.2,,faeces
32,32.3,bottom,b1,3,31.2,,faeces
32,32.3,bottom,b1,8,83.2,,faeces
32,32.3,bottom,b1,3,31.2,,faeces
32,32.3,bottom,b1,7,72.8,,faeces
32,32.3,bottom,b1,4,41.6,,faeces
32,32.3,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,10,104,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.4,bottom,b1,2,20.8,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,2,20.8,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,4,41.6,,faeces
32,32.4,bottom,b1,4,41.6,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,4,41.6,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,9,93.6,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,8,83.2,,faeces
32,32.4,bottom,b1,2,20.8,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,8,83.2,,faeces
32,32.4,bottom,b1,8,83.2,,faeces
32,32.4,bottom,b1,10,104,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,8,83.2,,faeces
32,32.4,bottom,b1,9,93.6,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,4,41.6,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,7,72.8,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,2,20.8,,faeces
32,32.4,bottom,b1,6,62.4,,faeces
32,32.4,bottom,b1,5,52,,faeces
32,32.4,bottom,b1,3,31.2,,faeces
32,32.5,top,t1,5,52,,faeces
32,32.5,top,t1,8,83.2,,faeces
32,32.5,top,t1,5,52,,faeces
32,32.5,top,t1,5,52,,faeces
32,32.5,top,t3,6,62.4,,faeces
32,32.5,bottom,b1,9,93.6,,faeces
32,32.5,bottom,b1,11,114.4,,faeces
32,32.5,bottom,b1,11,114.4,,faeces
32,32.5,bottom,b3,3,31.2,,faeces
32,32.5,bottom,b3,3,31.2,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,5,52,,faeces
32,32.5,bottom,b3,5,52,,faeces
32,32.5,bottom,b3,5,52,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,4,41.6,,faeces
32,32.5,bottom,b3,2,20.8,,faeces
32,32.5,bottom,b3,2,20.8,,faeces
64,64.1,top,t1,27,70.2,40,faeces
64,64.1,top,t1,27,70.2,,faeces
64,64.1,top,t2,6,15.6,40,faeces
64,64.1,bottom,b1,15,39,40,faeces
64,64.1,bottom,b1,7,18.2,,faeces
64,64.1,bottom,b1,5,13,,faeces
64,64.1,bottom,b1,8,20.8,,faeces
64,64.1,bottom,b1,10,26,,faeces
64,64.1,bottom,b1,7,18.2,,faeces
64,64.1,bottom,b2,5,52,10,faeces
64,64.1,bottom,b2,3,31.2,,faeces
64,64.1,bottom,b2,5,52,,faeces
64,64.1,bottom,b2,3,31.2,,faeces
64,64.1,bottom,b2,5,52,,faeces
64,64.1,bottom,b2,4,41.6,,faeces
64,64.1,bottom,b2,6,62.4,,faeces
64,64.1,bottom,b2,5,52,,faeces
64,64.1,bottom,b2,3,31.2,,faeces
64,64.1,bottom,b2,3,31.2,,faeces
64,64.1,bottom,b2,6,62.4,,faeces
64,64.1,bottom,b2,6,62.4,,faeces
64,64.1,bottom,b2,5,52,,faeces
64,64.1,bottom,b2,3,31.2,,faeces
64,64.1,bottom,b2,7,72.8,,faeces
64,64.1,bottom,b3,4,41.6,10,faeces
64,64.1,bottom,b3,3,31.2,,faeces
64,64.1,bottom,b3,6,62.4,,faeces
64,64.1,bottom,b3,6,62.4,,faeces
64,64.1,bottom,b3,3,31.2,,faeces
64,64.2,top,t2,9,23.4,40,faeces
64,64.2,top,t2,7,18.2,,faeces
64,64.2,top,t2,6,15.6,,faeces
64,64.2,top,t2,18,46.8,,faeces
64,64.2,top,t2,10,26,,faeces
64,64.2,top,t2,5,13,,faeces
64,64.2,top,t2,13,33.8,,faeces
64,64.2,top,t2,24,62.4,,faeces
64,64.2,top,t2,7,18.2,,faeces
64,64.2,top,t3,16,41.6,,faeces
64,64.2,top,t3,21,54.6,,faeces
64,64.2,top,t3,7,18.2,,faeces
64,64.2,top,t3,17,44.2,,faeces
64,64.2,top,t3,16,41.6,,faeces
64,64.2,top,t3,6,15.6,,faeces
64,64.2,top,t3,25,65,,faeces
64,64.2,top,t3,20,52,,faeces
64,64.2,top,t3,8,20.8,,faeces
64,64.2,top,t3,11,28.6,,faeces
64,64.2,top,t3,10,26,,faeces
64,64.2,top,t3,22,57.2,,faeces
64,64.2,top,t3,5,13,,faeces
64,64.2,top,t3,17,44.2,,faeces
64,64.2,top,t3,7,18.2,,faeces
64,64.2,top,t3,6,15.6,,faeces
64,64.2,top,t3,9,23.4,,faeces
64,64.2,top,t3,10,26,,faeces
64,64.2,top,t3,11,28.6,,faeces
64,64.2,top,t3,10,26,,faeces
64,64.2,top,t3,16,41.6,,faeces
64,64.2,top,t3,13,33.8,,faeces
64,64.2,bottom,b1,13,33.8,,faeces
64,64.2,bottom,b1,14,36.4,,faeces
64,64.2,bottom,b1,7,18.2,,faeces
64,64.2,bottom,b1,12,31.2,,faeces
64,64.2,bottom,b1,10,26,,faeces
64,64.2,bottom,b1,20,52,,faeces
64,64.2,bottom,b1,16,41.6,,faeces
64,64.2,bottom,b1,22,57.2,,faeces
64,64.2,bottom,b1,15,39,,faeces
64,64.2,bottom,b3,20,52,,faeces
64,64.2,bottom,b3,15,39,,faeces
64,64.2,bottom,b3,5,13,,faeces
64,64.2,bottom,b3,7,18.2,,faeces
64,64.2,bottom,b3,9,23.4,,faeces
64,64.2,bottom,b3,24,62.4,,faeces
64,64.2,bottom,b3,33,85.8,,faeces
64,64.2,bottom,b3,32,83.2,,faeces
