density,batch,position,individual,OG-size,size,magnitude ,type
singleton,1.1,,,9,93.6,10,psudofaeces
singleton,1.1,,,4,41.6,,psudofaeces
singleton,1.1,,,8,83.2,,psudofaeces
singleton,1.1,,,13,135.2,,psudofaeces
singleton,1.3,,,7,72.8,,psudofaeces
singleton,1.3,,,5,52,,psudofaeces
singleton,1.3,,,6,62.4,,psudofaeces
singleton,1.3,,,6,62.4,,psudofaeces
singleton,1.3,,,3,31.2,,psudofaeces
singleton,1.3,,,5,52,,psudofaeces
singleton,1.3,,,11,114.4,,psudofaeces
singleton,1.3,,,19,197.6,,psudofaeces
singleton,1.4,,,8,83.2,,psudofaeces
singleton,1.5,,,11,114.4,,psudofaeces
32,32.1,top,t1,7,72.8,,psudofaeces
32,32.1,top,t2,12,124.8,,psudofaeces
32,32.1,top,t2,15,156,,psudofaeces
32,32.1,top,t3,6,62.4,,psudofaeces
32,32.1,top,t3,6,62.4,,psudofaeces
32,32.1,top,t3,7,72.8,,psudofaeces
32,32.1,bottom,b1,8,83.2,,psudofaeces
32,32.1,bottom,b2,10,104,,psudofaeces
32,32.1,bottom,b2,7,72.8,,psudofaeces
32,32.1,bottom,b3,15,156,,psudofaeces
32,32.1,bottom,b3,15,156,,psudofaeces
32,32.1,bottom,b3,13,135.2,,psudofaeces
32,32.1,bottom,b3,7,72.8,,psudofaeces
32,32.2,bottom,b1,6,62.4,,psudofaeces
32,32.2,bottom,b3,7,72.8,,psudofaeces
32,32.4,top,t1,8,83.2,,psudofaeces
32,32.4,top,t2,7,72.8,,psudofaeces
32,32.4,bottom,b1,7,72.8,,psudofaeces
32,32.4,bottom,b1,14,145.6,,psudofaeces
32,32.4,bottom,b3,5,52,,psudofaeces
64,64.1,top,t3,8,83.2,,psudofaeces
64,64.1,top,t3,8,83.2,,psudofaeces
64,64.1,bottom,b1,13,135.2,,psudofaeces
64,64.2,top,t2,5,52,,psudofaeces
64,64.2,top,t2,6,62.4,,psudofaeces
64,64.2,top,t3,2,20.8,,psudofaeces
64,64.2,top,t3,3,31.2,,psudofaeces
64,64.2,top,t3,5,52,,psudofaeces
64,64.2,top,t3,5,52,,psudofaeces
64,64.2,top,t3,5,52,,psudofaeces
64,64.2,top,t3,7,72.8,,psudofaeces
64,64.2,top,t3,4,41.6,,psudofaeces
64,64.2,bottom,b1,3,31.2,,psudofaeces
64,64.2,bottom,b1,4,41.6,,psudofaeces
64,64.2,bottom,b1,5,52,,psudofaeces
64,64.2,bottom,b1,4,41.6,,psudofaeces
64,64.2,bottom,b2,13,135.2,,psudofaeces
64,64.2,bottom,b2,8,83.2,,psudofaeces
64,64.2,bottom,b3,8,83.2,,psudofaeces
64,64.2,bottom,b3,4,41.6,,psudofaeces
64,64.2,bottom,b3,8,83.2,,psudofaeces
64,64.2,bottom,b3,5,52,,psudofaeces
64,64.2,bottom,b3,7,72.8,,psudofaeces
64,64.2,bottom,b3,5,52,,psudofaeces
64,64.2,bottom,b3,5,52,,psudofaeces
64,64.3,top,t2,6,62.4,,psudofaeces
64,64.3,top,t2,6,62.4,,psudofaeces
64,64.3,top,t3,11,114.4,,psudofaeces
64,64.3,bottom,b3,6,62.4,,psudofaeces
64,64.3,bottom,b3,7,72.8,,psudofaeces
64,64.4,top,t1,8,83.2,,psudofaeces
64,64.4,top,t3,7,72.8,,psudofaeces
64,64.4,top,t3,2,20.8,,psudofaeces
64,64.4,top,t3,5,52,,psudofaeces
64,64.4,bottom,b1,6,62.4,,psudofaeces
64,64.4,bottom,b3,13,135.2,,psudofaeces
64,64.5,top,t1,8,83.2,,psudofaeces
64,64.5,top,t1,6,62.4,,psudofaeces
64,64.5,top,t2,8,83.2,,psudofaeces
64,64.5,bottom,b3,5,52,,psudofaeces
control,control1,,,10,104,10,psudofaeces
control,control1,,,13,135.2,,psudofaeces
control,control1,,,14,145.6,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,13,135.2,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,6,62.4,,psudofaeces
control,control1,,,3,31.2,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,5,52,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,5,52,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,6,62.4,,psudofaeces
control,control1,,,4,41.6,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,12,124.8,,psudofaeces
control,control1,,,12,124.8,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,11,114.4,,psudofaeces
control,control1,,,15,156,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,6,62.4,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,14,145.6,,psudofaeces
control,control1,,,11,114.4,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,7,72.8,,psudofaeces
control,control1,,,9,93.6,,psudofaeces
control,control1,,,10,104,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control1,,,8,83.2,,psudofaeces
control,control3,,,7,72.8,10,psudofaeces
control,control3,,,3,31.2,,psudofaeces
control,control3,,,7,72.8,,psudofaeces
control,control3,,,5,52,,psudofaeces
control,control3,,,3,31.2,,psudofaeces
control,control3,,,4,41.6,,psudofaeces
control,control3,,,3,31.2,,psudofaeces
