ID,Sample,size,ogtissue,tissue,ogshell,shell,situ,site,mass,no,ratio,ratio.m,location,body,Layer
N39,2.1.1,13.23,0.014,0.018347513,0.14,0.175324268,clump,b,91.724,282,2.098901099,12.80138429,sport,0.104649023,Bottom
N54,2.1.1,13.65,0.014,0.016425398,0.159,0.181604093,clump,b,91.724,282,2.098901099,12.80138429,sport,0.090446188,Bottom
N49,2.1.1,14.34,0.011,0.01083789,0.167,0.164949867,clump,b,91.724,282,2.098901099,12.80138429,sport,0.065704143,Bottom
N52,2.1.1,14.82,0.013,0.011398887,0.163,0.146116108,clump,b,91.724,282,2.098901099,12.80138429,sport,0.078012528,Bottom
N51,2.1.1,15.01,0.023,0.019277752,0.22,0.189947884,clump,b,91.724,282,2.098901099,12.80138429,sport,0.10148969,Bottom
N40,2.1.1,15.81,0.012,0.008368663,0.146,0.108175489,clump,b,91.724,282,2.098901099,12.80138429,sport,0.077361915,Bottom
N38,2.1.1,15.82,0.017,0.011829091,0.194,0.143472525,clump,b,91.724,282,2.098901099,12.80138429,sport,0.082448474,Bottom
N50,2.1.1,15.98,0.015,0.010072064,0.167,0.119897076,clump,b,91.724,282,2.098901099,12.80138429,sport,0.08400592,Bottom
N43,2.1.1,16.13,0.017,0.011043537,0.194,0.135500277,clump,b,91.724,282,2.098901099,12.80138429,sport,0.081501955,Bottom
N48,2.1.1,16.96,0.021,0.011421285,0.205,0.123507864,clump,b,91.724,282,2.098901099,12.80138429,sport,0.092474148,Bottom
N46,2.1.1,17.11,0.018,0.009489139,0.253,0.14852354,clump,b,91.724,282,2.098901099,12.80138429,sport,0.063889798,Bottom
N42,2.1.1,18.05,0.023,0.010033088,0.271,0.13589915,clump,b,91.724,282,2.098901099,12.80138429,sport,0.073827454,Bottom
N45,2.1.1,18.2,0.023,0.009743335,0.242,0.118433443,clump,b,91.724,282,2.098901099,12.80138429,sport,0.082268443,Bottom
N47,2.1.1,18.67,0.024,0.009289274,0.232,0.105323704,clump,b,91.724,282,2.098901099,12.80138429,sport,0.088197377,Bottom
N41,2.1.1,19.27,0.028,0.009689123,0.277,0.114563833,clump,b,91.724,282,2.098901099,12.80138429,sport,0.084574011,Bottom
N85,2.1.1,7.59,0.001,0.00937468,0.021,0.135162533,clump,b,91.724,282,2.098901099,12.80138429,sport,0.06935857,Bottom
N82,2.1.1,13.05,0.003,0.004127024,0.096,0.125173376,clump,b,91.724,282,2.098901099,12.80138429,sport,0.032970463,Bottom
N80,2.1.1,13.92,0.017,0.018608654,0.171,0.184358948,clump,b,91.724,282,2.098901099,12.80138429,sport,0.100937083,Bottom
N86,2.1.1,14.08,0.015,0.01576819,0.177,0.184509675,clump,b,91.724,282,2.098901099,12.80138429,sport,0.085459962,Bottom
N81,2.1.1,14.17,0.017,0.017471929,0.172,0.175963328,clump,b,91.724,282,2.098901099,12.80138429,sport,0.099293015,Bottom
N87,2.1.1,14.54,0.021,0.019700231,0.183,0.173526436,clump,b,91.724,282,2.098901099,12.80138429,sport,0.1135287,Bottom
N84,2.1.1,15.16,0.019,0.015374122,0.186,0.155956111,clump,b,91.724,282,2.098901099,12.80138429,sport,0.098579796,Bottom
N77,2.1.1,15.16,0.015,0.012137464,0.224,0.187818112,clump,b,91.724,282,2.098901099,12.80138429,sport,0.064623504,Bottom
N75,2.1.1,15.32,0.024,0.018711239,0.233,0.189414359,clump,b,91.724,282,2.098901099,12.80138429,sport,0.098784689,Bottom
N79,2.1.1,16.47,0.019,0.011463946,0.212,0.13924699,clump,b,91.724,282,2.098901099,12.80138429,sport,0.082328145,Bottom
N78,2.1.1,16.9,0.022,0.012116256,0.253,0.15402655,clump,b,91.724,282,2.098901099,12.80138429,sport,0.078663425,Bottom
N83,2.1.1,17.02,0.024,0.012890686,0.259,0.154426636,clump,b,91.724,282,2.098901099,12.80138429,sport,0.0834745,Bottom
N76,2.1.1,17.6,0.028,0.013356426,0.251,0.135588452,clump,b,91.724,282,2.098901099,12.80138429,sport,0.098507105,Bottom
N125,2.2.1,9.92,0.003,0.010898482,0.061,0.178416801,clump,b,91.724,282,2.098901099,12.80138429,sport,0.061084392,Bottom
N127,2.2.1,10.01,0,0,0.051,0.145251519,clump,b,91.724,282,2.098901099,12.80138429,sport,0,Bottom
N123,2.2.1,11.39,0.004,0.008908448,0.075,0.146006326,clump,b,91.724,282,2.098901099,12.80138429,sport,0.061014126,Bottom
N119,2.2.1,12.16,0.007,0.01236633,0.114,0.183028971,clump,b,91.724,282,2.098901099,12.80138429,sport,0.067564878,Bottom
N124,2.2.1,13.4,0.011,0.013778666,0.132,0.159203457,clump,b,91.724,282,2.098901099,12.80138429,sport,0.086547531,Bottom
N141,2.2.1,13.42,0.009,0.011214074,0.141,0.169312686,clump,b,91.724,282,2.098901099,12.80138429,sport,0.066232925,Bottom
