"ID","size","tissue","shell","clump.size","type","layer","fouling"
"L18",6.6,0.002,0.017,92,"Clump",NA,NA
"N9",6.73,0.001,0.011,282,"Clump",NA,NA
"N7",6.79,0.001,0.012,282,"Clump",NA,NA
"N34",6.87,0.001,0.016,282,"Clump",NA,NA
"H118",7.08,0.001,0.018,310,"Clump",NA,NA
"H36",7.21,0.001,0.017,310,"Clump",NA,NA
"H43",7.27,0.001,0.019,310,"Clump","Bottom",NA
"N11",7.42,0.001,0.017,282,"Clump",NA,NA
"H45",7.46,0.001,0.016,310,"Clump","Bottom",NA
"H34",7.51,0.001,0.016,310,"Clump",NA,NA
"L5",7.54,0.002,0.021,92,"Clump",NA,NA
"N85",7.59,0.001,0.021,282,"Clump","Bottom","Fouled_by_QM"
"N36",7.68,0.003,0.018,282,"Clump",NA,NA
"N10",7.92,0.002,0.023,282,"Clump",NA,NA
"K63",8.14,0.001,0.031,116,"Clump",NA,NA
"L32",8.22,0.002,0.019,92,"Clump",NA,NA
"K89",8.26,0.003,0.034,116,"Clump",NA,"Fouling_QM"
"K65",8.34,0.004,0.045,116,"Clump",NA,"Fouling_QM"
"K8",8.37,0.001,0.035,116,"Clump",NA,"Fouled_by_QM"
"K10",8.39,0.002,0.033,116,"Clump",NA,"Fouled_by_QM"
"M39",8.41,0.001,0.034,99,"Clump",NA,"Fouled_by_QM"
"N157",8.48,0.001,0.034,282,"Clump","Bottom",NA
"H42",8.65,0.001,0.031,310,"Clump","Bottom",NA
"L81",8.93,0.002,0.043,92,"Clump",NA,"Fouling_QM"
"M3",9,0.003,0.031,99,"Clump",NA,NA
"H147",9.05,0.002,0.048,310,"Clump","Top",NA
"H123",9.07,0.001,0.038,310,"Clump","Top",NA
"M7",9.14,0.002,0.038,99,"Clump",NA,"Fouled_by_QM"
"L77",9.14,0.003,0.034,92,"Clump",NA,"Fouling_QM"
"H31",9.17,0.001,0.027,310,"Clump",NA,NA
"H220",9.18,0.002,0.044,310,"Clump","Bottom","Fouled_by_QM"
"H129",9.27,0.002,0.031,310,"Clump","Top",NA
"M4",9.35,0.003,0.036,99,"Clump",NA,NA
"H40",9.57,0.004,0.051,310,"Clump","Bottom",NA
"M13",9.67,0.004,0.04,99,"Clump",NA,NA
"K62",9.73,0.002,0.055,116,"Clump",NA,"Fouling_QM"
"K39",9.75,0.008,0.08,116,"Clump",NA,NA
"N19",9.77,0.003,0.034,282,"Clump",NA,NA
"L1",9.79,0.004,0.048,92,"Clump",NA,NA
"N125",9.92,0.003,0.061,282,"Clump","Bottom",NA
"L55",9.92,0.003,0.055,92,"Clump",NA,NA
"N196",9.95,0.005,0.052,282,"Clump","Top",NA
"K101",10.07,0.005,0.054,116,"Clump",NA,NA
"N159",10.22,0.002,0.054,282,"Clump","Bottom",NA
"N102",10.22,0.004,0.074,282,"Clump","Top","Fouled_by_QM"
"K54",10.23,0.006,0.056,116,"Clump",NA,NA
"M64",10.25,0.005,0.072,99,"Clump",NA,"Fouling_ZM"
"K103",10.36,0.008,0.069,116,"Clump",NA,NA
"K81",10.42,0.005,0.065,116,"Clump",NA,NA
"N173",10.55,0.006,0.069,282,"Clump","Top",NA
"K83",10.55,0.008,0.064,116,"Clump",NA,NA
"K23",10.58,0.006,0.071,116,"Clump",NA,"Fouled_by_QM"
"L2",10.62,0.007,0.055,92,"Clump",NA,NA
"L43",10.64,0.005,0.073,92,"Clump",NA,"Fouled_by_QM"
"L14",10.65,0.006,0.045,92,"Clump",NA,"Fouled_by_QM"
"M51",10.66,0.007,0.073,99,"Clump",NA,NA
"M36",10.68,0.004,0.07,99,"Clump",NA,NA
"K45",10.79,0.011,0.1,116,"Clump",NA,"Fouling_QM"
"K18",10.8,0.009,0.096,116,"Clump",NA,NA
"K20",10.81,0.008,0.087,116,"Clump",NA,NA
"M17",10.96,0.008,0.08,99,"Clump",NA,"Fouling_QM"
"K49",11.04,0.01,0.086,116,"Clump",NA,NA
"M74",11.06,0.007,0.157,99,"Clump",NA,"Fouling_QM"
"K56",11.15,0.01,0.077,116,"Clump",NA,"Fouling_QM"
"H152",11.21,0.001,0.072,310,"Clump","Top",NA
"H179",11.22,0.006,0.077,310,"Clump","Bottom","Fouling_QM"
"K61",11.25,0.008,0.103,116,"Clump",NA,NA
"H142",11.31,0.005,0.066,310,"Clump","Top",NA
"N123",11.39,0.004,0.075,282,"Clump","Bottom",NA
"K87",11.39,0.013,0.127,116,"Clump",NA,"Fouled_by_QM"
"M35",11.43,0.01,0.098,99,"Clump",NA,NA
"H174",11.48,0.004,0.07,310,"Clump","Bottom",NA
"K64",11.48,0.018,0.17,116,"Clump",NA,NA
"K76",11.51,0.009,0.092,116,"Clump",NA,"Fouling_QM"
"K66",11.55,0.012,0.108,116,"Clump",NA,NA
"L28",11.57,0.009,0.083,92,"Clump",NA,"Fouling_QM"
"N3",11.59,0.006,0.071,282,"Clump",NA,NA
"K46",11.6,0.009,0.082,116,"Clump",NA,"Fouling_QM"
"K11",11.61,0.009,0.084,116,"Clump",NA,NA
"N58",11.63,0.004,0.065,282,"Clump",NA,NA
"H114",11.65,0.009,0.106,310,"Clump","Bottom",NA
"H113",11.72,0.004,0.075,310,"Clump","Bottom",NA
"K59",11.72,0.004,0.073,116,"Clump",NA,NA
"K6",11.74,0.009,0.089,116,"Clump",NA,"Fouled_by_QM"
"N33",11.76,0.008,0.108,282,"Clump",NA,NA
"K37",11.85,0.015,0.101,116,"Clump",NA,NA
"M62",11.87,0.012,0.1,99,"Clump",NA,"Fouled_by_QM"
"N190",11.88,0.005,0.088,282,"Clump","Top",NA
"M59",11.95,0.007,0.097,99,"Clump",NA,NA
"K99",11.96,0.012,0.14,116,"Clump",NA,NA
"K90",11.97,0.014,0.128,116,"Clump",NA,"Fouling_QM"
"H158",12.03,0.004,0.099,310,"Clump","Top",NA
"K72",12.05,0.005,0.087,116,"Clump",NA,"Fouling_QM"
"L51",12.1,0.012,0.105,92,"Clump",NA,"Fouled_by_QM"
"K14",12.13,0.014,0.125,116,"Clump",NA,NA
"N31",12.16,0.003,0.087,282,"Clump",NA,NA
"H219",12.16,0.003,0.079,310,"Clump","Bottom",NA
"N119",12.16,0.007,0.114,282,"Clump","Bottom",NA
"M58",12.2,0.008,0.102,99,"Clump",NA,NA
"K50",12.29,0.012,0.104,116,"Clump",NA,NA
"M61",12.34,0.012,0.107,99,"Clump",NA,NA
"M18",12.36,0.005,0.093,99,"Clump",NA,NA
"K5",12.39,0.012,0.129,116,"Clump",NA,"Fouling_QM"
"N200",12.55,0.008,0.124,282,"Clump","Top","Fouling_QM"
