"ID","size","tissue","shell","clump.size","type","layer","fouling"
"C1",7.9,0.003,0.032,1,"Singleton",NA,NA
"A2",8.29,0.002,0.028,1,"Singleton",NA,NA
"A1",6.84,0.003,0.03,1,"Singleton",NA,NA
"B2",6.55,0.002,0.017,1,"Singleton",NA,NA
"B4",8.37,0.006,0.039,1,"Singleton",NA,NA
"B1",9.24,0.007,0.055,1,"Singleton",NA,NA
"B5",10.53,0.006,0.06,1,"Singleton",NA,NA
"B3",10.25,0.01,0.088,1,"Singleton",NA,NA
"E17",7.27,0.003,0.014,38,"Mono",NA,NA
"E5",6.71,0.002,0.02,38,"Mono",NA,NA
"E10",7.96,0.003,0.026,38,"Mono",NA,NA
"E9",8.57,0.008,0.026,38,"Mono",NA,NA
"E1",7.12,0.003,0.027,38,"Mono",NA,NA
"E16",7.6,0.002,0.027,38,"Mono",NA,NA
"E11",8.38,0.003,0.028,38,"Mono",NA,NA
"E12",8.39,0.002,0.032,38,"Mono",NA,NA
"E13",10,0.006,0.054,38,"Mono",NA,NA
"E15",14.11,0.017,0.131,38,"Mono",NA,NA
"E18",15.24,0.025,0.167,38,"Mono",NA,NA
"E19",13.87,0.025,0.169,38,"Mono",NA,NA
"E14",15.59,0.023,0.174,38,"Mono",NA,NA
"H9",7.2,0.001,0.02,28,"Mono",NA,NA
"H15",7.58,0.003,0.024,28,"Mono",NA,NA
"H3",7.37,0.002,0.026,28,"Mono",NA,NA
"H18",7.39,0.003,0.026,28,"Mono",NA,NA
"H8",8.56,0.005,0.041,28,"Mono",NA,NA
"H16",8.6,0.004,0.046,28,"Mono",NA,NA
"H12",10.88,0.009,0.094,28,"Mono",NA,NA
"G18",7.33,0.002,0.019,48,"Mono",NA,NA
"G20",7.28,0.002,0.022,48,"Mono",NA,NA
"G1",7.91,0.002,0.027,48,"Mono",NA,NA
"G4",8.72,0.004,0.03,48,"Mono",NA,NA
"G7",8.94,0.005,0.039,48,"Mono",NA,NA
"G5",10.96,0.008,0.086,48,"Mono",NA,NA
"G11",12.62,0.01,0.099,48,"Mono",NA,NA
"F1",7.39,0.002,0.019,48,"Mono",NA,NA
"F7",7.2,0.001,0.02,48,"Mono",NA,NA
"F9",8.08,0.004,0.031,48,"Mono",NA,NA
"F17",14.3,0.019,0.144,48,"Mono",NA,NA
"F16",16.82,0.031,0.24,48,"Mono",NA,NA
"K98",7.2,0.002,0.025,116,"Clump",NA,"Fouling_QM"
"K82",7.82,0.002,0.029,116,"Clump",NA,"Fouling_QM"
"K73",8.49,0.003,0.036,116,"Clump",NA,"Fouling_QM"
"K94",9.62,0.006,0.052,116,"Clump",NA,NA
"K95",12.17,0.007,0.079,116,"Clump",NA,"Fouling_QM"
"K102",12.04,0.009,0.094,116,"Clump",NA,NA
"K88",14.21,0.016,0.139,116,"Clump",NA,"Fouling_QM"
"K34",6.91,0.001,0.02,116,"Clump",NA,"Fouling_QM"
"K24",7.38,0.002,0.021,116,"Clump",NA,"Fouling_QM"
"K25",9.6,0.003,0.042,116,"Clump",NA,"Fouling_QM"
"K33",9.71,0.006,0.045,116,"Clump",NA,"Fouling_QM"
"K48",9.85,0.004,0.048,116,"Clump",NA,"Fouling_QM"
"K42",10.81,0.01,0.087,116,"Clump",NA,NA
"K35",12.2,0.011,0.102,116,"Clump",NA,NA
"K15",12.29,0.012,0.117,116,"Clump",NA,NA
"K2",6.52,0.002,0.016,116,"Clump",NA,NA
"K1",7.03,0.002,0.018,116,"Clump",NA,NA
"K55",9.48,0.004,0.049,116,"Clump",NA,NA
"L67",9,0.003,0.035,92,"Clump",NA,NA
"L71",11.73,0.011,0.115,92,"Clump",NA,"Fouled_by_QM"
"L66",13.6,0.017,0.171,92,"Clump",NA,"Fouling_QM"
"L56",7.64,0.002,0.027,92,"Clump",NA,"Fouled_by_QM"
"L50",9.7,0.004,0.046,92,"Clump",NA,"Fouled_by_QM"
"L35",9.74,0.006,0.046,92,"Clump",NA,"Fouling_QM"
"L29",8.55,0.004,0.038,92,"Clump",NA,"Fouled_by_QM"
"L25",10.17,0.005,0.052,92,"Clump",NA,"Fouling_QM"
"L26",12.27,0.01,0.102,92,"Clump",NA,"Fouled_by_QM"
"L17",7.49,0.003,0.025,92,"Clump",NA,"Fouling_QM"
"L15",9.11,0.006,0.048,92,"Clump",NA,"Fouled_by_QM"
"L6",6.79,0.003,0.017,92,"Clump",NA,NA
"L33",6.66,0.003,0.021,92,"Clump",NA,NA
"L19",11.33,0.008,0.075,92,"Clump",NA,NA
"L4",11.15,0.011,0.087,92,"Clump",NA,NA
"M93",8.87,0.002,0.033,99,"Clump",NA,"Fouled_by_QM"
"M56",7.95,0.003,0.038,99,"Clump",NA,NA
"M55",8.12,0.003,0.042,99,"Clump",NA,NA
"M75",9.06,0.005,0.049,99,"Clump",NA,"Fouling_ZM"
"M92",9.67,0.007,0.059,99,"Clump",NA,NA
"M84",9.84,0.006,0.061,99,"Clump",NA,"Fouled_by_ZM"
"M87",10.46,0.006,0.061,99,"Clump",NA,NA
"M54",10.97,0.007,0.061,99,"Clump",NA,NA
"M86",12.8,0.011,0.094,99,"Clump",NA,"Fouling_ZM"
"M85",11.52,0.008,0.104,99,"Clump",NA,NA
"M67",11.53,0.01,0.106,99,"Clump",NA,NA
"M72",12.12,0.013,0.109,99,"Clump",NA,NA
"M88",13.53,0.017,0.146,99,"Clump",NA,NA
"M37",9.34,0.007,0.059,99,"Clump",NA,"Fouling_QM"
"M23",10.73,0.008,0.081,99,"Clump",NA,"Fouled_by_ZM"
"M19",11.64,0.009,0.092,99,"Clump",NA,NA
"M20",13.29,0.013,0.12,99,"Clump",NA,NA
"M14",7.02,0.002,0.02,99,"Clump",NA,NA
"M2",6.5,0.001,0.023,99,"Clump",NA,NA
"M5",7.64,0.002,0.025,99,"Clump",NA,NA
"M11",9.98,0.004,0.059,99,"Clump",NA,NA
"M53",11.53,0.008,0.075,99,"Clump",NA,NA
"M12",11.94,0.008,0.081,99,"Clump",NA,NA
"N191",6.55,0,0.014,282,"Clump",NA,"Fouling_QM"
"N192",6.74,0.001,0.018,282,"Clump","Top","Fouling_QM"
"N197",9.05,0.003,0.04,282,"Clump","Top","Fouling_QM"
"N187",11.6,0.005,0.081,282,"Clump","Top",NA
"N182",13.53,0.01,0.127,282,"Clump","Top",NA
"N174",6.98,0.001,0.016,282,"Clump","Top",NA
"N168",9.41,0.004,0.034,282,"Clump","Top","Fouling_QM"
"N164",8.81,0.004,0.039,282,"Clump","Top",NA
"N169",11.55,0.007,0.078,282,"Clump","Top","Fouling_QM"
"N163",12.23,0.009,0.087,282,"Clump","Top","Fouling_QM"
"N145",9.26,0.006,0.047,282,"Clump","Bottom",NA
"N155",9.28,0.003,0.048,282,"Clump","Bottom","Fouled_by_QM"
"N144",13.24,0.012,0.125,282,"Clump","Bottom",NA
"N103",7.6,0.002,0.021,282,"Clump","Bottom",NA
"N128",8.92,0.002,0.034,282,"Clump","Bottom",NA
"N73",12.77,0.009,0.105,282,"Clump","Bottom","Fouling_QM"
"N74",13.16,0.011,0.122,282,"Clump","Bottom","Fouling_QM"
"N62",14.13,0.017,0.133,282,"Clump","Top",NA
"N44",11.63,0.007,0.084,282,"Clump","Bottom","Fouling_QM"
"N53",13.18,0.01,0.103,282,"Clump","Bottom",NA
"N12",6.89,0.001,0.014,282,"Clump",NA,NA
"N8",6.85,0.001,0.015,282,"Clump",NA,NA
"N17",7.45,0,0.017,282,"Clump",NA,NA
"N25",7.16,0.001,0.017,282,"Clump",NA,NA
"N27",7.08,0.002,0.019,282,"Clump",NA,NA
"N23",7.15,0.001,0.02,282,"Clump",NA,NA
"N26",7.14,0.001,0.02,282,"Clump",NA,NA
"N28",7.04,0.002,0.021,282,"Clump",NA,NA
"N24",7.32,0.002,0.022,282,"Clump",NA,NA
"N22",7.01,0.001,0.025,282,"Clump",NA,NA
"N18",8.51,0.002,0.029,282,"Clump",NA,NA
"N21",9.53,0.002,0.029,282,"Clump",NA,NA
"N2",9.86,0.003,0.044,282,"Clump",NA,NA
"N20",9.95,0.003,0.045,282,"Clump",NA,NA
"N30",14.12,0.008,0.123,282,"Clump",NA,NA
"H20",14.54,0.01,0.127,310,"Clump",NA,NA
"H21",14.98,0.012,0.146,310,"Clump",NA,NA
"H141",7.08,0.002,0.016,310,"Clump","Top","Fouled_by_QM"
"H134",6.53,0.001,0.017,310,"Clump","Top","Fouling_QM"
"H133",7.68,0.002,0.025,310,"Clump","Top",NA
"H124",8.01,0.003,0.028,310,"Clump","Top",NA
