ID,clump,size,lnsize,wetmass,wetdemse,density,ogshell,lnshell,shell,final,foil,ogtissue,lntissue,tissue,ogcondition,condition,totaldense,type
1,Singleton,31.66,3.455054054,3.752,3.156,1,1.318,0.276115436,0.838311625,,,0.163,-1.814005078,0.106167536,0.251,0.126644476,1,sing
3,Singleton,30.93,3.431726587,3.281,3.156,1,1.221,0.199670195,0.845045178,,,0.136,-1.995100393,0.095960464,0.283,0.113556608,1,sing
4,Singleton,27.16,3.301745303,2.312,3.156,1,0.923,-0.080126044,1.022622924,,,0.093,-2.375155786,0.102485025,0.100758397,0.100217805,1,sing
5,Singleton,28.87,3.362802994,2.78,3.156,1,1.229,0.206200831,1.091626575,,,0.119,-2.128631786,0.106358218,0.096826688,0.097430953,1,sing
6,Singleton,22.43,3.110399349,1.983,3.156,1,0.91,-0.094310679,2.015482336,,,0.083,-2.488914671,0.176315398,0.091208791,0.087480498,1,sing
7,Singleton,26.12,3.262701304,2.832,3.156,1,1.358,0.306013029,1.732991608,,,0.119,-2.128631786,0.149928963,0.087628866,0.086514535,1,sing
8,Singleton,29.26,3.376221396,2.659,3.156,1,1.541,0.432431556,1.303854614,,,0.087,-2.44184716,0.07425999,0.056456846,0.056954195,1,sing
9,Singleton,27.16,3.301745303,3.617,3.156,1,1.541,0.432431556,1.70732603,,,0.168,-1.7837913,0.185134238,0.109020117,0.108435199,1,sing
10,Singleton,28.61,3.353756307,3.02,3.156,1,1.12,0.113328685,1.027928605,,,0.141,-1.958995389,0.129992836,0.125892857,0.126460958,1,sing
11,Singleton,30.44,3.415757533,4.14,3.156,1,1.405,0.340037303,1.030258657,,,0.169,-1.777856564,0.125958686,0.36,0.122259284,1,sing
12,Singleton,29.46,3.383033411,3.408,3.156,1,1.355,0.303801454,1.11855242,,,0.156,-1.857899272,0.130080695,0.115129151,0.116293786,1,sing
29,Singleton,29.71,3.391483689,3.278,3.156,1,1.146,0.136277618,0.917522224,,,0.153,-1.877317358,0.123934407,0.133507853,0.135075101,1,sing
30,Singleton,31.13,3.438171984,3.965,3.156,1,1.473,0.387301137,0.995941672,,,0.143,-1.944910649,0.098693423,0.265,0.099095585,3,sing
141,16,29.44,3.382354294,3.481,6.85,3,1.023,0.022739487,0.846565083,,,0.091,-2.396895772,0.076057365,0.088954057,0.089842313,3,clump
142,16,28.53,3.350956165,2.796,6.277,3,1.045,0.044016885,0.968865411,,,0.124,-2.087473713,0.115423215,0.118660287,0.119132352,3,clump
13,1,27.01,3.296207168,3.135,8.433,3,1.159,0.147557564,1.3100987,,,0.12,-2.120263536,0.134774733,0.103537532,0.102873725,4,clump
14,1,30.91,3.431079756,3.576,10.647,3,1.41,0.343589704,0.978138355,,,0.246,-1.402423743,0.173961073,0.4,0.177849148,4,clump
