ID,Location,Sample,Species,Size(mm),ogtissue,tissue,ogshell,shell,situ,condition
N85,Sport,2.1.1,QM,7.59,0.001,0.00937468,0.021,0.135162533,QM.f,0.06935857
K89,Sport,1.4,QM,8.26,0.003,0.020844308,0.034,0.170563067,f.QM,0.122208804
K65,Sport,1.3,QM,8.34,0.004,0.02685985,0.045,0.219425263,f.QM,0.122410018
K8,Sport,1.1,QM,8.37,0.001,0.006630125,0.035,0.168868305,QM.f,0.039262106
K10,Sport,1.1,QM,8.39,0.002,0.013148659,0.033,0.158103143,QM.f,0.083165073
M39,Sport,5.1,QM,8.41,0.001,0.006519135,0.034,0.161755558,QM.f,0.040302385
L81,Sport,3.4,QM,8.93,0.002,0.010542839,0.043,0.171430999,f.QM,0.061499021
M7,Sport,5,QM,9.14,0.002,0.009709841,0.038,0.141470342,QM.f,0.068635167
L77,Sport,3.4,QM,9.14,0.003,0.014564761,0.034,0.126578727,f.QM,0.115064839
H220,Sport,4.2.1,QM,9.18,0.002,0.009560853,0.044,0.161713932,QM.f,0.059122012
K62,Sport,1.3,QM,9.73,0.002,0.007780634,0.055,0.17029879,f.QM,0.045688137
N102,Sport,2.2.2,QM,10.22,0.004,0.013076363,0.074,0.198252503,QM.f,0.065958121
M64,Sport,5.2,QM,10.25,0.005,0.016176679,0.072,0.19123584,f.ZM,0.084590208
K23,Sport,1.1,QM,10.58,0.006,0.017351622,0.071,0.171772197,QM.f,0.101015313
L43,Sport,3.3,QM,10.64,0.005,0.014173016,0.073,0.173692923,QM.f,0.081598121
L14,Sport,3.1,QM,10.65,0.006,0.016951138,0.045,0.106775071,QM.f,0.158755582
K45,Sport,1.2,QM,10.79,0.011,0.02967265,0.1,0.228322191,f.QM,0.129959553
M17,Sport,5.1,QM,10.96,0.008,0.020418009,0.08,0.174436512,f.QM,0.117051236
M74,Sport,5.2,QM,11.06,0.007,0.017300303,0.157,0.333293119,f.QM,0.051907172
K56,Sport,1.3,QM,11.15,0.01,0.024015536,0.077,0.159605651,f.QM,0.150467953
H179,Sport,4.2.1,QM,11.22,0.006,0.014093509,0.077,0.156689923,f.QM,0.089945214
K87,Sport,1.4,QM,11.39,0.013,0.028952457,0.127,0.247237378,QM.f,0.117103884
K76,Sport,1.4,QM,11.51,0.009,0.019313784,0.092,0.173655772,f.QM,0.111218785
L28,Sport,3.2,QM,11.57,0.009,0.018961455,0.083,0.154286283,f.QM,0.122897869
K46,Sport,1.2,QM,11.6,0.009,0.018788381,0.082,0.151268993,f.QM,0.124205102
K6,Sport,1.1,QM,11.74,0.009,0.018006958,0.089,0.15848096,QM.f,0.11362222
M62,Sport,5.2,QM,11.87,0.012,0.023091058,0.1,0.172384209,QM.f,0.133951121
K90,Sport,1.4,QM,11.97,0.014,0.026151056,0.128,0.215265237,f.QM,0.12148295
K72,Sport,1.4,QM,12.05,0.005,0.009121945,0.087,0.143469872,f.QM,0.06358091
L51,Sport,3.3,QM,12.1,0.012,0.021574008,0.105,0.171053867,QM.f,0.126124058
K5,Sport,1.1,QM,12.39,0.012,0.019838477,0.129,0.195988659,f.QM,0.101222578
N200,Sport,2.3.3,QM,12.55,0.008,0.012638197,0.124,0.181403878,f.QM,0.069668838
M44,Sport,5.1,QM,12.58,0.013,0.020364173,0.119,0.172868989,f.QM,0.117801194
M68,Sport,5.2,QM,12.59,0.012,0.018744882,0.131,0.189856204,f.QM,0.098731998
M40,Sport,5.1,QM,12.66,0.018,0.027570671,0.117,0.166818981,f.QM,0.165272985
H173,Sport,4.2.1,QM,12.78,0.004,0.005925525,0.084,0.116484648,QM.f,0.050869578
K13,Sport,1.1,QM,12.79,0.016,0.023636543,0.121,0.167407166,QM.f,0.141191945
K68,Sport,1.4,QM,12.82,0.011,0.016115871,0.103,0.141523448,f.QM,0.113874208
H175,Sport,4.2.1,QM,12.82,0.007,0.010255554,0.073,0.100303026,f.QM,0.102245708
K60,Sport,1.3,QM,12.87,0.005,0.007225118,0.112,0.152134924,QM.f,0.047491516
M79,Sport,5.2,QM,12.96,0.01,0.014098025,0.112,0.149043482,f.QM,0.094590013
L72,Sport,3.4,QM,13.02,0.011,0.015256249,0.147,0.192975722,QM.f,0.079057868
H47,Sport,4.1.1,QM,13.06,0.009,0.012347536,0.125,0.162618785,f.QM,0.075929334
N39,Sport,2.1.1,QM,13.23,0.014,0.018347513,0.14,0.175324268,f.QM,0.104649023
L75,Sport,3.4,QM,13.34,0.014,0.017817379,0.125,0.152767242,f.QM,0.116630889
N186,Sport,2.3.3,QM,13.34,0.009,0.01145403,0.117,0.142990139,f.ZM,0.080103633
M81,Sport,5.2,QM,13.38,0.013,0.016370232,0.162,0.196247713,f.QM,0.083416168
H217,Sport,4.2.1,QM,13.42,0.016,0.019936132,0.151,0.181320678,f.QM,0.109949579
H205,Sport,4.2.1,QM,13.44,0.011,0.013634005,0.149,0.178135847,f.ZM,0.076537123
M83,Sport,5.2,QM,13.5,0.018,0.021961056,0.173,0.204132484,QM.f,0.107582366
H48,Sport,4.1.1,QM,13.5,0.015,0.01830088,0.154,0.181713309,f.QM,0.10071293
H197,Sport,4.2.1,QM,13.57,0.004,0.004791675,0.091,0.105752456,ZM.f,0.045310293
H207,Sport,4.2.1,QM,13.57,0.018,0.021562536,0.158,0.183614154,f.QM,0.117433956
L73,Sport,3.4,QM,13.63,0.011,0.012972851,0.131,0.150271217,f.QM,0.086329582
N54,Sport,2.1.1,QM,13.65,0.014,0.016425398,0.159,0.181604093,QM.f,0.090446188
N80,Sport,2.1.1,QM,13.92,0.017,0.018608654,0.171,0.184358948,f.QM,0.100937083
N134,Sport,2.2.1,QM,13.92,0.017,0.018608654,0.196,0.211312011,f.QM,0.088062455
N136,Sport,2.2.1,QM,13.92,0.017,0.018608654,0.142,0.153093396,f.QM,0.121550994
H193,Sport,4.2.1,QM,13.93,0.007,0.007642927,0.129,0.138783879,QM.f,0.055070713
N142,Sport,2.2.1,QM,13.94,0.017,0.018514288,0.176,0.188948668,QM.f,0.09798581
M41,Sport,5.1,QM,14.09,0.017,0.017825744,0.161,0.167480169,QM.f,0.106434957
N132,Sport,2.2.1,QM,14.11,0.008,0.008346558,0.148,0.153314924,QM.f,0.05444061
H208,Sport,4.2.1,QM,14.11,0.009,0.009389878,0.115,0.11912984,f.QM,0.078820535
N135,Sport,2.2.1,QM,14.16,0.024,0.024727992,0.263,0.269620372,f.QM,0.091714107
L70,Sport,3.4,QM,14.22,0.014,0.014210297,0.148,0.149847259,QM.f,0.094831876
L36,Sport,3.3,QM,14.26,0.016,0.016079603,0.179,0.179740609,f.QM,0.089460046
K43,Sport,1.2,QM,14.31,0.015,0.014888944,0.146,0.145100127,f.QM,0.102611516
N49,Sport,2.1.1,QM,14.34,0.011,0.01083789,0.167,0.164949867,QM.f,0.065704143
L79,Sport,3.4,QM,14.36,0.017,0.016667008,0.179,0.176078103,f.QM,0.094656901
L10,Sport,3.1,QM,14.39,0.024,0.02335665,0.169,0.165222392,f.QM,0.141364919
H181,Sport,4.2.1,QM,14.4,0.016,0.015532844,0.17,0.165860251,ZM.f,0.09365019
N185,Sport,2.3.3,QM,14.46,0.013,0.01243598,0.162,0.156130778,f.QM,0.079651047
L65,Sport,3.4,QM,14.49,0.013,0.012345048,0.161,0.15422249,QM.f,0.080047002
K91,Sport,1.4,QM,14.54,0.013,0.012195381,0.118,0.111891363,f.QM,0.10899305
L40,Sport,3.3,QM,14.72,0.012,0.010777357,0.154,0.140829492,f.QM,0.0765277
N89,Sport,2,QM,14.8,0.021,0.018501849,0.188,0.169198354,f.QM,0.109350056
M22,Sport,5.1,QM,14.81,0.014,0.0123051,0.168,0.150897963,ZM.f,0.081545834
N52,Sport,2.1.1,QM,14.82,0.013,0.011398887,0.163,0.146116108,ZM.f,0.078012528
N194,Sport,2.3.3,QM,14.94,0.01,0.008521521,0.12,0.105044589,f.QM,0.081122893
N51,Sport,2.1.1,QM,15.01,0.023,0.019277752,0.22,0.189947884,QM.f,0.10148969
N88,Sport,2,QM,15.02,0.016,0.013379021,0.223,0.192160686,QM.f,0.069624132
N166,Sport,2.3.2,QM,15.06,0.017,0.014081966,0.179,0.153041764,f.QM,0.092013874
H187,Sport,4.2.1,QM,15.08,0.018,0.014840411,0.258,0.219724585,QM.f,0.067540969
N77,Sport,2.1.1,QM,15.16,0.015,0.012137464,0.224,0.187818112,QM.f,0.064623504
N84,Sport,2.1.1,QM,15.16,0.019,0.015374122,0.186,0.155956111,QM.f,0.098579796
M60,Sport,5.2,QM,15.16,0.016,0.012946629,0.16,0.134155794,f.QM,0.096504432
H139,Sport,4.2.2,QM,15.2,0.016,0.012826389,0.162,0.134782375,f.QM,0.095163699
H214,Sport,4.2.1,QM,15.22,0.012,0.009575105,0.161,0.133432496,f.QM,0.071759918
N75,Sport,2.1.1,QM,15.32,0.024,0.018711239,0.233,0.189414359,ZM.f,0.098784689
L69,Sport,3.4,QM,15.32,0.021,0.016372334,0.196,0.159335684,f.QM,0.102753717
N195,Sport,2.3.3,QM,15.34,0.025,0.019401039,0.18,0.145767362,f.QM,0.133095906
N146,Sport,2.3.1,QM,15.36,0.027,0.020856674,0.198,0.159729807,QM.f,0.130574714
H198,Sport,4.2.1,QM,15.42,0.02,0.015237573,0.19,0.151525713,f.QM,0.100560975
M28,Sport,5.1,QM,15.44,0.017,0.012892627,0.198,0.157303924,f.QM,0.081959986
N150,Sport,2.3.1,QM,15.67,0.021,0.015113761,0.192,0.146035104,f.QM,0.10349403
H172,Sport,4.2.1,QM,15.67,0.017,0.01223495,0.23,0.174937885,f.QM,0.069938822
H94,Sport,4.1.1,QM,15.69,0.032,0.022926709,0.249,0.188678952,f.QM,0.121511747
H52,Sport,4.1.1,QM,15.71,0.012,0.008558821,0.177,0.133618787,QM.f,0.064054026
N171,Sport,2.3.2,QM,15.76,0.018,0.012694586,0.195,0.145835517,f.QM,0.087047285
N38,Sport,2.1.1,QM,15.82,0.017,0.011829091,0.194,0.143472525,QM.f,0.082448474
H209,Sport,4.2.1,QM,15.86,0.018,0.012413422,0.223,0.1636971,QM.f,0.075831655
L80,Sport,3.4,QM,15.96,0.019,0.012814649,0.204,0.147002453,QM.f,0.087173032
M90,Sport,5.2,QM,15.97,0.02,0.013459219,0.179,0.128749647,f.ZM,0.104537912
K80,Sport,1.4,QM,15.99,0.032,0.021439525,0.22,0.157657417,f.QM,0.13598805
N139,Sport,2.2.1,QM,16.06,0.013,0.008576122,0.211,0.149274419,f.QM,0.057452057
M32,Sport,5.1,QM,16.07,0.024,0.015797982,0.24,0.169479732,f.QM,0.093214578
H103,Sport,4.1.1,QM,16.07,0.017,0.011190237,0.172,0.121460474,f.QM,0.092130687
N129,Sport,2.2.1,QM,16.12,0.018,0.011718863,0.161,0.112656894,f.QM,0.104022603
H218,Sport,4.2.1,QM,16.21,0.018,0.01149009,0.217,0.149371682,QM.f,0.076922814
N147,Sport,2.3.1,QM,16.24,0.016,0.010146761,0.184,0.125968133,f.QM,0.080550225
H168,Sport,4.2.1,QM,16.24,0.027,0.01712266,0.202,0.138291103,f.QM,0.123816064
H204,Sport,4.2.1,QM,16.25,0.019,0.012023043,0.225,0.153758029,ZM.f,0.078194573
N162,Sport,2.3.2,QM,16.46,0.022,0.013302621,0.255,0.167790434,QM.f,0.079281167
N79,Sport,2.1.1,QM,16.47,0.019,0.011463946,0.212,0.13924699,QM.f,0.082328145
H75,Sport,4.1.2,QM,16.53,0.018,0.010721632,0.223,0.144911328,f.QM,0.073987538
L78,Sport,3.4,QM,16.58,0.023,0.013554129,0.233,0.150068384,QM.f,0.090319683
H188,Sport,4.2.1,QM,16.62,0.019,0.011101758,0.238,0.152204423,ZM.f,0.072939784
N199,Sport,2.3.3,QM,16.63,0.031,0.018074855,0.242,0.15448848,QM.f,0.116998077
N153,Sport,2.3.1,QM,16.64,0.021,0.012218221,0.243,0.154852381,f.QM,0.078902375
N149,Sport,2.3.1,QM,16.66,0.025,0.014483764,0.232,0.14732035,f.QM,0.098314751
H92,Sport,4.1.1,QM,16.71,0.028,0.01605059,0.279,0.175608236,QM.f,0.091399985
H81,Sport,4.1.2,QM,16.79,0.026,0.014654176,0.22,0.136537715,f.QM,0.10732695
H213,Sport,4.2.1,QM,16.85,0.028,0.015583333,0.217,0.133267948,f.QM,0.116932339
K21,Sport,1.1,QM,16.87,0.027,0.014963798,0.248,0.151774897,f.QM,0.098592049
N78,Sport,2.1.1,QM,16.9,0.022,0.012116256,0.253,0.15402655,f.QM,0.078663425
H56,Sport,4.1.1,QM,16.92,0.017,0.009323433,0.234,0.141963827,f.QM,0.065674705
H99,Sport,4.1.1,QM,16.93,0.017,0.009303947,0.247,0.1495901,QM.f,0.062196273
K79,Sport,1.4,QM,16.96,0.036,0.019579345,0.277,0.166886236,f.QM,0.117321508
K3,Sport,1.1,QM,16.98,0.021,0.01137372,0.203,0.121879009,f.QM,0.093319761
H194,Sport,4.2.1,QM,17,0.028,0.015101879,0.239,0.14299626,f.QM,0.105610307
N83,Sport,2.1.1,QM,17.02,0.024,0.012890686,0.259,0.154426636,f.QM,0.0834745
N46,Sport,2.1.1,QM,17.11,0.018,0.009489139,0.253,0.14852354,QM.f,0.063889798
M25,Sport,5.1,QM,17.17,0.02,0.010413602,0.211,0.122596611,f.QM,0.084942003
N98,Sport,2.2.2,QM,17.28,0.028,0.014253064,0.237,0.13513685,f.QM,0.105471335
N99,Sport,2.2.2,QM,17.51,0.025,0.012143849,0.229,0.125586742,f.QM,0.0966969
M31,Sport,5.1,QM,17.52,0.021,0.010180231,0.193,0.10566597,f.QM,0.096343513
H95,Sport,4.1.1,QM,17.59,0.03,0.014339285,0.294,0.159082888,f.QM,0.090137194
N97,Sport,2.2.2,QM,17.6,0.026,0.012402395,0.258,0.139369803,QM.f,0.088989115
H100,Sport,4.1.1,QM,17.62,0.023,0.010927316,0.243,0.130828445,QM.f,0.083524009
L61,Sport,3.4,QM,17.95,0.034,0.01512618,0.265,0.135083186,f.QM,0.111976781
H91,Sport,4.1.1,QM,17.98,0.023,0.010172089,0.274,0.138985484,f.QM,0.073188137
H203,Sport,4.2.1,QM,18.01,0.018,0.007913909,0.266,0.13426646,ZM.f,0.058941813
N42,Sport,2.1.1,QM,18.05,0.023,0.010033088,0.271,0.13589915,f.QM,0.073827454
L74,Sport,3.4,QM,18.17,0.019,0.008095998,0.241,0.118518658,f.QM,0.068309902
H138,Sport,4.2.2,QM,18.41,0.024,0.009762215,0.313,0.14808981,QM.f,0.065920908
H215,Sport,4.2.1,QM,19.15,0.027,0.009552053,0.326,0.137333876,QM.f,0.069553506
N41,Sport,2.1.1,QM,19.27,0.028,0.009689123,0.277,0.114563833,f.QM,0.084574011
H46,Sport,4.1.1,QM,20.66,0.031,0.008382582,0.35,0.117902613,f.QM,0.071097511
