ID,Sample,size,lnsize,ogtissue,lntissue,tissue,ogshell,lnshell,shell,site,mass,no,ratio,ratio.m,location,body,Type,clump.density
L18,3.1,6.6,1.887069649,0.002,-6.214608098,0.030755125,0.017,-4.074541935,0.165158826,3,26.279,92,1.967741935,5.332289157,sport,0.186215452,Clump,mid
N9,2,6.73,1.906575144,0.001,-6.907755279,0.0143513,0.011,-4.509860006,0.100899637,2,91.724,282,2.098901099,12.80138429,sport,0.142233414,Clump,high
N7,2,6.79,1.915450942,0.001,-6.907755279,0.013907264,0.012,-4.422848629,0.107231453,2,91.724,282,2.098901099,12.80138429,sport,0.129693892,Clump,high
N34,2,6.87,1.927164106,0.001,-6.907755279,0.013342241,0.016,-4.135166557,0.138125777,2,91.724,282,2.098901099,12.80138429,sport,0.096594866,Clump,high
H118,4.2,7.08,1.957273908,0.001,-6.907755279,0.011992917,0.018,-4.017383521,0.142201385,4,106.604,222,2.69047619,14.85189591,sport,0.084337552,Clump,high
H36,4,7.21,1.975468951,0.001,-6.907755279,0.011244595,0.017,-4.074541935,0.127291947,4,106.604,222,2.69047619,14.85189591,sport,0.088337047,Clump,high
H43,4.1.1,7.27,1.983756292,0.001,-6.907755279,0.010919412,0.019,-3.9633163,0.138836138,4,106.604,222,2.69047619,14.85189591,sport,0.078649634,Clump,high
N11,2,7.42,2.004179057,0.001,-6.907755279,0.010157629,0.017,-4.074541935,0.116968337,2,91.724,282,2.098901099,12.80138429,sport,0.086840845,Clump,high
H45,4.1.1,7.46,2.009555414,0.001,-6.907755279,0.009966081,0.016,-4.135166557,0.108357929,4,106.604,222,2.69047619,14.85189591,sport,0.091973709,Clump,high
H34,4,7.51,2.016235466,0.001,-6.907755279,0.009733109,0.016,-4.135166557,0.106246352,4,106.604,222,2.69047619,14.85189591,sport,0.091608873,Clump,high
L5,3,7.54,2.020222182,0.002,-6.214608098,0.019193344,0.021,-3.863232841,0.137820115,3,26.279,92,1.967741935,5.332289157,sport,0.139263733,Clump,mid
N85,2.1.2?,7.59,2.026831591,0.001,-6.907755279,0.00937468,0.021,-3.863232841,0.135162533,2,91.724,282,2.098901099,12.80138429,sport,0.06935857,Clump,high
N36,2.1,7.68,2.038619547,0.003,-5.80914299,0.026974274,0.018,-4.017383521,0.111899372,2,91.724,282,2.098901099,12.80138429,sport,0.24105831,Clump,high
N10,2,7.92,2.069391206,0.002,-6.214608098,0.016126373,0.023,-3.772261063,0.13059085,2,91.724,282,2.098901099,12.80138429,sport,0.123487773,Clump,high
