ID,Sort code1,Sort code2,Species,Location,Site,Size(mm),Tissue: Initial total weight (g),Tissue:Foil weight ,Shell: Initial total weight,Shell: Foil weight ,Conspecific clump,Individuals,Fouled,Fouling species,Fouling individual,No. of fouling individual,Fouling,Orientation,Encrusting species,Encrusting individual ,Tissue: final total weight,Dry tissue mass,Shell: final total weight,Dry shell mass,Tissue/Shell,Total dry mass,Note
L10,L,10,QM,RW Sport ,s1n1,7,,0.145,,0.101,n,,n,,,,n,,,,0.146,0.001,0.115,0.014,0.071428571,0.015,
L14,L,14,QM,RW Sport ,s1n1,9.14,,0.131,,0.117,n,,n,,,,n,,,,0.133,0.002,0.149,0.032,0.0625,0.034,
L15,L,15,QM,RW Sport ,s1n1,9.3,,0.139,,0.152,n,,n,,,,n,,,,0.141,0.002,0.187,0.035,0.057142857,0.037,
L9,L,9,QM,RW Sport ,s1n1,9.65,,0.131,,0.116,n,,n,,,,n,,,,0.133,0.002,0.157,0.041,0.048780488,0.043,
L5,L,5,QM,RW Sport ,s1n1,9.69,,0.139,,0.12,n,,n,,,,n,,,,0.142,0.003,0.159,0.039,0.076923077,0.042,
L7,L,7,QM,RW Sport ,s1n1,11.06,,0.122,,0.114,n,,n,,,,n,,,,0.127,0.005,0.161,0.047,0.106382979,0.052,
L8,L,8,QM,RW Sport ,s1n1,11.08,,0.14,,0.117,n,,n,,,,n,,,,0.144,0.004,0.17,0.053,0.075471698,0.057,
L3,L,3,QM,RW Sport ,s1n1,11.33,,0.169,,0.131,n,,n,,,,n,,,,0.175,0.006,0.216,0.085,0.070588235,0.091,
L18,L,18,QM,RW Sport ,s1n1,11.53,,0.129,,0.112,n,,n,,,,n,,,,0.135,0.006,0.199,0.087,0.068965517,0.093,
L20,L,20,QM,RW Sport ,s1n1,12.35,,0.156,,0.13,n,,n,,,,n,,,,0.162,0.006,0.214,0.084,0.071428571,0.09,
L4,L,4,QM,RW Sport ,s1n1,12.36,,0.158,,0.173,n,,n,,,,n,,,,0.165,0.007,0.269,0.096,0.072916667,0.103,
L1,L,1,QM,RW Sport ,s1n1,12.53,,0.194,,0.169,n,,n,,,,n,,,,0.199,0.005,0.252,0.083,0.060240964,0.088,
L17,L,17,QM,RW Sport ,s1n1,12.67,,0.134,,0.163,n,,n,,,,n,,,,0.144,0.01,0.272,0.109,0.091743119,0.119,
L12,L,12,QM,RW Sport ,s1n1,12.79,,0.161,,0.091,n,,n,,,,n,,,,0.167,0.006,0.175,0.084,0.071428571,0.09,
L13,L,13,QM,RW Sport ,s1n1,12.95,,0.098,,0.143,n,,n,,,,n,,,,0.104,0.006,0.225,0.082,0.073170732,0.088,
L19,L,19,QM,RW Sport ,s1n1,13.18,,0.145,,0.157,n,,n,,,,n,,,,0.152,0.007,0.24,0.083,0.084337349,0.09,
L2,L,2,QM,RW Sport ,s1n1,13.78,,0.146,,0.155,n,,n,,,,n,,,,0.154,0.008,0.266,0.111,0.072072072,0.119,
L6,L,6,QM,RW Sport ,s1n1,15.76,,0.157,,0.185,n,,n,,,,n,,,,0.167,0.01,0.319,0.134,0.074626866,0.144,
L11,L,11,QM,RW Sport ,s1n1,16.31,,0.151,,0.126,n,,n,,,,n,,,,0.16,0.009,0.3,0.174,0.051724138,0.183,
L16,L,16,QM,RW Sport ,s1n1,18.33,,0.164,,0.122,n,,n,,,,n,,,,0.188,0.024,0.4,0.278,0.086330935,0.302,
M27,M,27,QM,RW Sport ,s1r2,9.58,,0.136,,0.052,y,M23-M30,n,,,,n,,,,0.145,0.009,0.116,0.064,0.140625,0.073,
M30,M,30,QM,RW Sport ,s1r2,9.58,,0.106,,0.104,y,M23-M30,n,,,,n,,,,0.109,0.003,0.152,0.048,0.0625,0.051,
M28,M,28,QM,RW Sport ,s1r2,11.68,,0.112,,0.138,y,M23-M30,n,,,,n,,,,0.122,0.01,0.21,0.072,0.138888889,0.082,
M26,M,26,QM,RW Sport ,s1r2,12.4,,0.1,,0.049,y,M23-M30,n,,,,n,,,,0.12,0.02,0.188,0.139,0.143884892,0.159,
M29,M,29,QM,RW Sport ,s1r2,12.43,,0.131,,0.149,y,M23-M30,n,,,,n,,,,0.149,0.018,0.286,0.137,0.131386861,0.155,
M25,M,25,QM,RW Sport ,s1r2,12.5,,0.063,,0.055,y,M23-M30,n,,,,n,,,,0.081,0.018,0.184,0.129,0.139534884,0.147,
M23,M,23,QM,RW Sport ,s1r2,13.49,,0.081,,0.087,y,M23-M30,n,,,,n,,,,0.101,0.02,0.198,0.111,0.18018018,0.131,
M24,M,24,QM,RW Sport ,s1r2,14.93,,0.059,,0.089,y,M23-M30,n,,,,n,,,,0.083,0.024,0.304,0.215,0.111627907,0.239,
M2,M,2,QM,RW Sport ,s1r2,10.03,,0.112,,0.105,n,,n,,,,y,-111,ZM,N1,0.116,0.004,0.144,0.039,0.102564103,0.043,
M16,M,16,QM,RW Sport ,s1r2,11.02,,0.189,,0.154,n,,n,,,,y,,ZM,N16,0.2,0.011,0.244,0.09,0.122222222,0.101,
M10,M,10,QM,RW Sport ,s1r2,11.44,,0.129,,0.168,n,,n,,,,y,175,ZM,N6,0.134,0.005,0.249,0.081,0.061728395,0.086,
M3,M,3,QM,RW Sport ,s1r2,12.33,,0.144,,0.098,n,,n,,,,y,-99,ZM,N1,0.155,0.011,0.213,0.115,0.095652174,0.126,
M5,M,5,QM,RW Sport ,s1r2,14.14,,0.118,,0.112,n,,n,,,,y,-129,ZM,N1,0.136,0.018,0.25,0.138,0.130434783,0.156,
M20,M,20,QM,RW Sport ,s1r2,14.37,,0.075,,0.087,n,,n,,,,y,,ZM,N18,0.097,0.022,0.264,0.177,0.124293785,0.199,
M7,M,7,QM,RW Sport ,s1r2,14.45,,0.157,,0.168,n,,n,,,,y,136,ZM,N2,0.182,0.025,0.359,0.191,0.130890052,0.216,
M4,M,4,QM,RW Sport ,s1r2,14.52,,0.109,,0.114,n,,n,,,,y,-88,ZM,N1,0.13,0.021,0.273,0.159,0.132075472,0.18,
M18,M,18,QM,RW Sport ,s1r2,14.81,,0.142,,0.163,n,,n,,,,y,,ZM,N18,0.165,0.023,0.332,0.169,0.136094675,0.192,
M19,M,19,QM,RW Sport ,s1r2,15.97,,0.116,,0.093,n,,n,,,,y,,ZM,N18,0.138,0.022,0.266,0.173,0.12716763,0.195,
M1,M,1,QM,RW Sport ,s1r2,16.2,,0.147,,0.141,n,,n,,,,y,86,ZM,N1,0.17,0.023,0.318,0.177,0.129943503,0.2,
M6,M,6,QM,RW Sport ,s1r2,17,,0.109,,0.13,n,,n,,,,y,6,ZM,N1,0.138,0.029,0.352,0.222,0.130630631,0.251,Damaged shell on one side
M21,M,21,QM,RW Sport ,s1r2,11.75,,0.072,,0.068,n,,y,ZM,N18,,n,,,,0.089,0.017,0.176,0.108,0.157407407,0.125,
M13,M,13,QM,RW Sport ,s1r2,12.69,,0.125,,0.195,n,,y,ZM,N9,,n,,,,0.141,0.016,0.318,0.123,0.130081301,0.139,
M11,M,11,QM,RW Sport ,s1r2,13.96,,0.124,,0.17,n,,y,ZM,N7,,n,,,,0.14,0.016,0.301,0.131,0.122137405,0.147,
M15,M,15,QM,RW Sport ,s1r2,13.97,,0.163,,0.149,n,,y,ZM,N11+1QM,,n,,,dead shell,0.183,0.02,0.322,0.173,0.115606936,0.193,
M9,M,9,QM,RW Sport ,s1r2,14.68,,0.147,,0.172,n,,y,ZM,"N4,N5",,n,,,,0.169,0.022,0.366,0.194,0.113402062,0.216,
M22,M,22,QM,RW Sport ,s1r2,15.07,,0.078,,0.062,n,,y,ZM,N18,,n,,,,0.099,0.021,0.265,0.203,0.103448276,0.224,
M14,M,14,QM,RW Sport ,s1r2,15.84,,0.143,,0.203,n,,y,ZM,N10,,n,,,,0.172,0.029,0.45,0.247,0.117408907,0.276,
M17,M,17,QM,RW Sport ,s1r2,16.08,,0.167,,0.162,n,,y,ZM,N17,,n,,,,0.189,0.022,0.341,0.179,0.122905028,0.201,
M12,M,12,QM,RW Sport ,s1r2,16.11,,0.129,,0.112,n,,y,ZM,N8,,n,,,,0.158,0.029,0.32,0.208,0.139423077,0.237,
M8,M,8,QM,RW Sport ,s1r2,16.67,,0.162,,0.16,n,,y,ZM,N3,,n,,,,0.188,0.026,0.396,0.236,0.110169492,0.262,
