ID,Sample,size,tissue,shell,situ,site,mass,no,ratio,ratio.m,location,body,clump
C1,6.s,7.9,0.003,0.032,sing,6,0.099,4,,,sport,0.09375,
A2,5.s,8.29,0.002,0.028,sing,5,0.231,8,1.666666667,1.044247788,sport,0.071428571,
A1,5.s,6.84,0.003,0.03,sing,5,0.231,8,1.666666667,1.044247788,sport,0.1,
B2,Singleton,6.55,0.002,0.017,sing,sport.s,0.852,6,0.2,0.5,sport,0.117647059,
B4,Singleton,8.37,0.006,0.039,sing,sport.s,0.852,6,0.2,0.5,sport,0.153846154,
B1,Singleton,9.24,0.007,0.055,sing,sport.s,0.852,6,0.2,0.5,sport,0.127272727,
B5,Singleton,10.53,0.006,0.06,sing,sport.s,0.852,6,0.2,0.5,sport,0.1,
B3,Singleton,10.25,0.01,0.088,sing,sport.s,0.852,6,0.2,0.5,sport,0.113636364,
E17,7,7.27,0.003,0.014,mono,7,2.864,38,0.583333333,2.934065934,sport,0.214285714,low
E5,7,6.71,0.002,0.02,mono,7,2.864,38,0.583333333,2.934065934,sport,0.1,low
E10,7,7.96,0.003,0.026,mono,7,2.864,38,0.583333333,2.934065934,sport,0.115384615,low
E9,7,8.57,0.008,0.026,mono,7,2.864,38,0.583333333,2.934065934,sport,0.307692308,low
E1,7,7.12,0.003,0.027,mono,7,2.864,38,0.583333333,2.934065934,sport,0.111111111,low
E16,7,7.6,0.002,0.027,mono,7,2.864,38,0.583333333,2.934065934,sport,0.074074074,low
E11,7,8.38,0.003,0.028,mono,7,2.864,38,0.583333333,2.934065934,sport,0.107142857,low
E12,7,8.39,0.002,0.032,mono,7,2.864,38,0.583333333,2.934065934,sport,0.0625,low
E13,7,10,0.006,0.054,mono,7,2.864,38,0.583333333,2.934065934,sport,0.111111111,low
E15,7,14.11,0.017,0.131,mono,7,2.864,38,0.583333333,2.934065934,sport,0.129770992,low
E18,7,15.24,0.025,0.167,mono,7,2.864,38,0.583333333,2.934065934,sport,0.149700599,low
E19,7,13.87,0.025,0.169,mono,7,2.864,38,0.583333333,2.934065934,sport,0.147928994,low
E14,7,15.59,0.023,0.174,mono,7,2.864,38,0.583333333,2.934065934,sport,0.132183908,low
H9,4,7.2,0.001,0.02,mono,4,2.971,28,1,3.132127955,sport,0.05,low
H15,4,7.58,0.003,0.024,mono,4,2.971,28,1,3.132127955,sport,0.125,low
H3,4,7.37,0.002,0.026,mono,4,2.971,28,1,3.132127955,sport,0.076923077,low
H18,4,7.39,0.003,0.026,mono,4,2.971,28,1,3.132127955,sport,0.115384615,low
H8,4,8.56,0.005,0.041,mono,4,2.971,28,1,3.132127955,sport,0.12195122,low
H16,4,8.6,0.004,0.046,mono,4,2.971,28,1,3.132127955,sport,0.086956522,low
H12,4,10.88,0.009,0.094,mono,4,2.971,28,1,3.132127955,sport,0.095744681,low
G18,6.2,7.33,0.002,0.019,mono,6,6.814,48,1.285714286,2.578781513,sport,0.105263158,low
G20,6.2,7.28,0.002,0.022,mono,6,6.814,48,1.285714286,2.578781513,sport,0.090909091,low
G1,6.2,7.91,0.002,0.027,mono,6,6.814,48,1.285714286,2.578781513,sport,0.074074074,low
G4,6.2,8.72,0.004,0.03,mono,6,6.814,48,1.285714286,2.578781513,sport,0.133333333,low
G7,6.2,8.94,0.005,0.039,mono,6,6.814,48,1.285714286,2.578781513,sport,0.128205128,low
G5,6.2,10.96,0.008,0.086,mono,6,6.814,48,1.285714286,2.578781513,sport,0.093023256,low
G11,6.2,12.62,0.01,0.099,mono,6,6.814,48,1.285714286,2.578781513,sport,0.101010101,low
F1,6.1,7.39,0.002,0.019,mono,6,6.814,48,1.285714286,2.578781513,sport,0.105263158,low
F7,6.1,7.2,0.001,0.02,mono,6,6.814,48,1.285714286,2.578781513,sport,0.05,low
F9,6.1,8.08,0.004,0.031,mono,6,6.814,48,1.285714286,2.578781513,sport,0.129032258,low
F17,6.1,14.3,0.019,0.144,mono,6,6.814,48,1.285714286,2.578781513,sport,0.131944444,low
F16,6.1,16.82,0.031,0.24,mono,6,6.814,48,1.285714286,2.578781513,sport,0.129166667,low
K98,1.4,7.2,0.002,0.025,clump,1,25.697,116,2.135135135,9.707083333,sport,0.08,mid
K82,1.4,7.82,0.002,0.029,clump,1,25.697,116,2.135135135,9.707083333,sport,0.068965517,mid
K73,1.4,8.49,0.003,0.036,clump,1,25.697,116,2.135135135,9.707083333,sport,0.083333333,mid
K94,1.4,9.62,0.006,0.052,clump,1,25.697,116,2.135135135,9.707083333,sport,0.115384615,mid
K95,1.4,12.17,0.007,0.079,clump,1,25.697,116,2.135135135,9.707083333,sport,0.088607595,mid
K102,1.4,12.04,0.009,0.094,clump,1,25.697,116,2.135135135,9.707083333,sport,0.095744681,mid
K88,1.4,14.21,0.016,0.139,clump,1,25.697,116,2.135135135,9.707083333,sport,0.115107914,mid
K34,1.2,6.91,0.001,0.02,clump,1,25.697,116,2.135135135,9.707083333,sport,0.05,mid
K24,1.2,7.38,0.002,0.021,clump,1,25.697,116,2.135135135,9.707083333,sport,0.095238095,mid
K25,1.2,9.6,0.003,0.042,clump,1,25.697,116,2.135135135,9.707083333,sport,0.071428571,mid
K33,1.2,9.71,0.006,0.045,clump,1,25.697,116,2.135135135,9.707083333,sport,0.133333333,mid
