ID,Sample,size,ogtissue,tissue,ogshell,shell,situ,site,mass,no,ratio,ratio.m,location,body,Layer
N103,2.2.1,7.6,0.002,0.005125005,0.021,0.046646124,clump,b,91.724,282,2.098901099,12.80138429,sport,0.109869889,Bottom
N128,2.2.1,8.92,0.002,0.002971268,0.034,0.047564255,clump,b,91.724,282,2.098901099,12.80138429,sport,0.062468498,Bottom
N145,2.3.1,9.26,0.006,0.007848039,0.047,0.059019707,clump,b,91.724,282,2.098901099,12.80138429,sport,0.132973201,Bottom
N155,2.3.1,9.28,0.003,0.003895307,0.048,0.059901175,clump,b,91.724,282,2.098901099,12.80138429,sport,0.065028888,Bottom
N44,2.1.1,11.63,0.007,0.004215202,0.084,0.05463309,clump,b,91.724,282,2.098901099,12.80138429,sport,0.077154747,Bottom
N53,2.1.1,13.18,0.01,0.003933342,0.103,0.046681688,clump,b,91.724,282,2.098901099,12.80138429,sport,0.084258771,Bottom
N73,2.1.1,12.77,0.009,0.003942053,0.105,0.052134029,clump,b,91.724,282,2.098901099,12.80138429,sport,0.075613811,Bottom
N74,2.1.1,13.16,0.011,0.0043491,0.122,0.05553582,clump,b,91.724,282,2.098901099,12.80138429,sport,0.078311613,Bottom
N144,2.3.1,13.24,0.012,0.004647595,0.125,0.055914509,clump,b,91.724,282,2.098901099,12.80138429,sport,0.08311966,Bottom
H64,4.1.1,7.48,0.001,0.002705158,0.02,0.046513733,clump,a,106.604,222,,,sport,0.058158271,Bottom
H44,4.1.1,7.54,0.001,0.002632581,0.023,0.052271128,clump,a,106.604,222,,,sport,0.050363951,Bottom
H61,4.1.1,7.77,0.003,0.007129874,0.027,0.056263066,clump,a,106.604,222,,,sport,0.126723873,Bottom
H166,4.2.1,13.1,0.006,0.002409425,0.085,0.039206837,clump,a,106.604,222,,,sport,0.061454215,Bottom
H184,4.2.1,12.43,0.011,0.005281614,0.107,0.057431577,clump,a,106.604,222,,,sport,0.091963596,Bottom
H186,4.2.1,13.77,0.01,0.003388618,0.121,0.048326818,clump,a,106.604,222,,,sport,0.070118787,Bottom
H68,4.1.2,13.4,0.011,0.004089608,0.125,0.054008681,clump,a,106.604,222,,,sport,0.075721307,Bottom
H202,4.2.1,13.1,0.011,0.00441728,0.139,0.06411471,clump,a,106.604,222,,,sport,0.068896512,Bottom
H185,4.2.1,14.48,0.011,0.003141161,0.142,0.049051763,clump,a,106.604,222,,,sport,0.064037682,Bottom
H180,4.2.1,14.32,0.014,0.004151946,0.148,0.052790933,clump,a,106.604,222,,,sport,0.078648853,Bottom
H54,4.1.1,15.17,0.017,0.004143122,0.158,0.047715209,clump,a,106.604,222,,,sport,0.08683022,Bottom
H167,4.2.1,14.44,0.01,0.002882617,0.168,0.058498389,clump,a,106.604,222,,,sport,0.049276867,Bottom
H201,4.2.1,14.68,0.015,0.004087987,0.19,0.063084199,clump,a,106.604,222,,,sport,0.064802073,Bottom
N174,2.3.2,6.98,0.001,0.003423496,0.016,0.045437506,clump,b,91.724,282,2.098901099,12.80138429,sport,0.075345163,Top
N192,2.3.3,6.74,0.001,0.003856519,0.018,0.056550506,clump,b,91.724,282,2.098901099,12.80138429,sport,0.068196006,Top
N168,2.3.2,9.41,0.004,0.004953528,0.034,0.040759682,clump,b,91.724,282,2.098901099,12.80138429,sport,0.121530099,Top
N164,2.3.2,8.81,0.004,0.006198916,0.039,0.056548914,clump,b,91.724,282,2.098901099,12.80138429,sport,0.109620417,Top
N197,2.3.3,9.05,0.003,0.004242709,0.04,0.053668648,clump,b,91.724,282,2.098901099,12.80138429,sport,0.079053765,Top
N169,2.3.2,11.55,0.007,0.004315416,0.078,0.051751808,clump,b,91.724,282,2.098901099,12.80138429,sport,0.083386772,Top
N187,2.3.3,11.6,0.005,0.003037447,0.081,0.053076212,clump,b,91.724,282,2.098901099,12.80138429,sport,0.057228033,Top
N163,2.3.2,12.23,0.009,0.004566638,0.087,0.048935517,clump,b,91.724,282,2.098901099,12.80138429,sport,0.093319497,Top
N182,2.3.3,13.53,0.01,0.003597626,0.127,0.053364457,clump,b,91.724,282,2.098901099,12.80138429,sport,0.067416147,Top
N62,2.1.2,14.13,0.017,0.005276169,0.133,0.049305609,clump,b,91.724,282,2.098901099,12.80138429,sport,0.107009515,Top
H141,4.2.2,7.08,0.002,0.006523347,0.016,0.043609296,clump,a,106.604,222,,,sport,0.149586166,Top
H134,4.2.2,6.53,0.001,0.004295258,0.017,0.058519375,clump,a,106.604,222,,,sport,0.073398904,Top
H133,4.2.2,7.68,0.002,0.004945545,0.025,0.053877481,clump,a,106.604,222,,,sport,0.091792426,Top
H124,4.2.2,8.01,0.003,0.006428504,0.028,0.053441184,clump,a,106.604,222,,,sport,0.120291191,Top
H135,4.2.2,8.07,0.002,0.004178171,0.03,0.05603798,clump,a,106.604,222,,,sport,0.074559629,Top
H122,4.2.2,8.58,0.002,0.003391509,0.037,0.057906729,clump,a,106.604,222,,,sport,0.05856848,Top
H132,4.2.2,9.64,0.002,0.002281316,0.045,0.050313813,clump,a,106.604,222,,,sport,0.045341749,Top
H120,4.2.2,14.93,0.008,0.002058468,0.138,0.043638874,clump,a,106.604,222,,,sport,0.047170512,Top
