"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"L18",6.6,0.0303701697974613,0.162133836114237,92,"Clump",NA,NA,0.187315433504348
"N9",6.73,0.0141690815525622,0.0990567448324213,282,"Clump",NA,NA,0.143040048171709
"N7",6.79,0.0137295437755144,0.105275402365428,282,"Clump",NA,NA,0.130415495614607
"N34",6.87,0.0131702972259227,0.135610404323268,282,"Clump",NA,NA,0.09711863401371
"H118",7.08,0.0118350274571093,0.139622995741423,310,"Clump",NA,NA,0.0847641707890828
"H36",7.21,0.0110946684905079,0.12498995569094,310,"Clump",NA,NA,0.0887644805470727
"H43",7.27,0.0107729855948284,0.136328388399982,310,"Clump","Bottom",NA,0.0790223204518559
"N11",7.42,0.0100195038027605,0.11486182900696,282,"Clump",NA,NA,0.0872309268395279
"H45",7.46,0.00983006543794871,0.106408012259345,310,"Clump","Bottom",NA,0.0923808764887951
"H34",7.51,0.00959967293372222,0.104336290765914,310,"Clump",NA,NA,0.0920070367007756
"L5",7.54,0.0189295074669751,0.135343869500974,92,"Clump",NA,NA,0.139862319119219
"N85",7.59,0.00924524169613115,0.132736374579033,282,"Clump","Bottom","Fouled_by_QM",0.0696511542179151
"N36",7.68,0.0265988998145546,0.109894238177259,282,"Clump",NA,NA,0.242040895462149
"N10",7.92,0.0158973812866055,0.128261299978727,282,"Clump",NA,NA,0.123945268676071
"K63",8.14,0.00721189032334061,0.159479951288666,116,"Clump",NA,NA,0.0452212975052065
"L32",8.22,0.0139315449711858,0.0949721878819129,92,"Clump",NA,NA,0.146690786870237
"K89",8.26,0.0205402428274334,0.167539236709043,116,"Clump",NA,"Fouling_QM",0.12259959655364
"K65",8.34,0.0264656464921116,0.215540714921861,116,"Clump",NA,"Fouling_QM",0.122787226077941
"K8",8.37,0.00653259996589919,0.165880368433753,116,"Clump",NA,"Fouled_by_QM",0.0393813929133398
"K10",8.39,0.0129549608734539,0.15530667136469,116,"Clump",NA,"Fouled_by_QM",0.083415353375472
"M39",8.41,0.00642295556516686,0.158895492529731,99,"Clump",NA,"Fouled_by_QM",0.0404225158493093
"N157",8.48,0.00623668981529882,0.155065789227929,282,"Clump","Bottom",NA,0.0402196373961737
"H42",8.65,0.00581231533559497,0.133360271667531,310,"Clump","Bottom",NA,0.0435835595032767
"L81",8.93,0.0103814672374306,0.168426784986401,92,"Clump",NA,"Fouling_QM",0.0616378638247405
"M3",9,0.0151464396704393,0.118665206428852,99,"Clump",NA,NA,0.12764010720801
"H147",9.05,0.00990095064341963,0.180767800254059,310,"Clump","Top",NA,0.0547716497601033
"H123",9.07,0.00491182794341677,0.142181022775904,310,"Clump","Top",NA,0.0345462977232795
"M7",9.14,0.00955914008323571,0.138999778153971,99,"Clump",NA,"Fouled_by_QM",0.0687709017250874
"L77",9.14,0.0143387101248536,0.124368222558816,92,"Clump",NA,"Fouling_QM",0.115292394068529
"H31",9.17,0.00472428595011954,0.0978150085042624,310,"Clump",NA,NA,0.0482981704174128
"H220",9.18,0.00941208037043818,0.158891693865928,310,"Clump","Bottom","Fouled_by_QM",0.0592358237327374
"H129",9.27,0.00909164730614291,0.108777518159615,310,"Clump","Top",NA,0.0835802053582638
"M4",9.35,0.0132277003144734,0.123167404385458,99,"Clump",NA,NA,0.107396111661789
"H40",9.57,0.0162391511888021,0.162942666286745,310,"Clump","Bottom",NA,0.0996617494906127
"M13",9.67,0.0156507485187694,0.123947234393098,99,"Clump",NA,NA,0.126269445182885
"K62",9.73,0.00765539423127736,0.16735267683045,116,"Clump",NA,"Fouling_QM",0.0457440799649311
"K39",9.75,0.0303991493770468,0.241955315192508,116,"Clump",NA,NA,0.125639518821317
"N19",9.77,0.0113170456227344,0.102212657942371,282,"Clump",NA,NA,0.110720588335694
"L1",9.79,0.0149802352025968,0.143434275361967,92,"Clump",NA,NA,0.104439717527719
"N125",9.92,0.0107211154958066,0.175339285595812,282,"Clump","Bottom",NA,0.0611449707883532
"L55",9.92,0.0107211154958066,0.158092798488027,92,"Clump",NA,NA,0.0678153312379918
"N196",9.95,0.0176779848162865,0.148146988103694,282,"Clump","Top",NA,0.119327331878749
"K101",10.07,0.016941357928322,0.148511160973157,116,"Clump",NA,NA,0.114074644742587
"N159",10.22,0.00642998355756214,0.142186605852527,282,"Clump","Bottom",NA,0.045222146762763
"N102",10.22,0.0128599671151243,0.194848311723834,282,"Clump","Top","Fouled_by_QM",0.0659998898699785
"K54",10.23,0.0192230876513145,0.147028933991729,116,"Clump",NA,NA,0.130743569509902
"M64",10.25,0.0159085418776086,0.187953599744836,99,"Clump",NA,"Fouling_ZM",0.0846407937874338
"K103",10.36,0.0245070646932648,0.17455096923171,116,"Clump",NA,NA,0.14040062224308
"K81",10.42,0.0150060763077596,0.161660811147918,116,"Clump",NA,NA,0.0928244526376229
"N173",10.55,0.0172318001471176,0.165459379685974,282,"Clump","Top",NA,0.10414519974523
"K83",10.55,0.0229757335294901,0.153469569563802,116,"Clump",NA,NA,0.149708724633768
"K23",10.58,0.0170589509768805,0.168838274577248,116,"Clump",NA,"Fouled_by_QM",0.101037226420338
"L2",10.62,0.0196372474566693,0.129345571559187,92,"Clump",NA,NA,0.151820021512553
"L43",10.64,0.0139332215018536,0.170728766581628,92,"Clump",NA,"Fouled_by_QM",0.0816102744770424
"L14",10.65,0.0166641940298728,0.104953163874793,92,"Clump",NA,"Fouled_by_QM",0.158777433806119
"M51",10.66,0.0193768862179234,0.169787685130848,99,"Clump",NA,NA,0.114124214621281
"M36",10.68,0.0109990652896936,0.161914353880647,99,"Clump",NA,NA,0.0679313786954392
"K45",10.79,0.0291667948534162,0.224434131946575,116,"Clump",NA,"Fouling_QM",0.129957037285038
"K18",10.8,0.0237853849531985,0.214870108274383,116,"Clump",NA,NA,0.110696574522247
"K20",10.81,0.0210732072056292,0.194196314128193,116,"Clump",NA,NA,0.108514970020071
"M17",10.96,0.0200669908119727,0.171473206205443,99,"Clump",NA,"Fouling_QM",0.117026976144194
"K49",11.04,0.0244443445380184,0.180429752033123,116,"Clump",NA,NA,0.135478457751973
"M74",11.06,0.0170014383980052,0.327639107631459,99,"Clump",NA,"Fouling_QM",0.0518907480883786
"K56",11.15,0.0235988746752088,0.156901477010497,116,"Clump",NA,"Fouling_QM",0.150405688492212
"H152",11.21,0.0023153482283113,0.144413781133556,310,"Clump","Top",NA,0.016032737389308
"H179",11.22,0.0138481804248399,0.154037718689232,310,"Clump","Bottom","Fouling_QM",0.0899012303134554
"K61",11.25,0.0182900218423003,0.204437373820242,116,"Clump",NA,NA,0.0894651574735172
"H142",11.31,0.0112174108264943,0.128963751346115,310,"Clump","Top",NA,0.0869811145334072
"N123",11.39,0.00875214591020621,0.143540708710597,282,"Clump","Bottom",NA,0.0609732666699597
"K87",11.39,0.0284444742081702,0.243062266749943,116,"Clump",NA,"Fouled_by_QM",0.117025462604745
"M35",11.43,0.0216097189313857,0.185634482762742,99,"Clump",NA,NA,0.116410047367142
"H174",11.48,0.00851096588226632,0.130903440450553,310,"Clump","Bottom",NA,0.0650171290607232
"K64",11.48,0.0382993464701985,0.317908355379915,116,"Clump",NA,NA,0.120472915612516
"K76",11.51,0.0189730550870802,0.170728005857075,116,"Clump",NA,"Fouling_QM",0.111130303384223
"K66",11.55,0.024987731025823,0.198383747052123,116,"Clump",NA,NA,0.125956543301189
"L28",11.57,0.018626035995628,0.151687180267888,92,"Clump",NA,"Fouling_QM",0.122792420313525
"N3",11.59,0.0123414485851521,0.129098562554438,282,"Clump",NA,NA,0.0955971030269832
"K46",11.6,0.0184555758177328,0.1487217457059,116,"Clump",NA,"Fouling_QM",0.124094669075691
"K11",11.61,0.0183992003374146,0.151963197284371,116,"Clump",NA,NA,0.121076686106992
"N58",11.63,0.0081276043968237,0.116996363962959,282,"Clump",NA,NA,0.069468863146866
"H114",11.65,0.0181758931573814,0.189831607592181,310,"Clump","Bottom",NA,0.0957474542196845
"H113",11.72,0.00790817606653204,0.131967287214809,310,"Clump","Bottom",NA,0.0599252756757784
"K59",11.72,0.00790817606653204,0.128448159555747,116,"Clump",NA,NA,0.0615670640504573
"K6",11.74,0.0176860098108129,0.155817250387499,116,"Clump",NA,"Fouled_by_QM",0.11350482547234
"N33",11.76,0.0156261801791495,0.188136689955945,282,"Clump",NA,NA,0.0830575906422538
"K37",11.85,0.0285166672953635,0.172038501330562,116,"Clump",NA,NA,0.165757473326103
"M62",11.87,0.0226771559280772,0.169491791715529,99,"Clump",NA,"Fouled_by_QM",0.133795009767423
"N190",11.88,0.00942060733848415,0.148783544702994,282,"Clump","Top",NA,0.063317535264332
"M59",11.95,0.0129166035397667,0.161188535039902,99,"Clump",NA,NA,0.080133512824403
"K99",11.96,0.0220770876682303,0.232071180517545,116,"Clump",NA,NA,0.0951306733520118
"K90",11.97,0.0256802883801644,0.211658054985697,116,"Clump",NA,"Fouling_QM",0.121329133360409
"H158",12.03,0.00720812543203269,0.161312730224076,310,"Clump","Top",NA,0.0446841698235474
"K72",12.05,0.00895717484865941,0.141068263456612,116,"Clump",NA,"Fouling_QM",0.063495322258747
"L51",12.1,0.0211834945303163,0.168192373152239,92,"Clump",NA,"Fouled_by_QM",0.125948009016688
"K14",12.13,0.0244977519580619,0.1987749532201,116,"Clump",NA,NA,0.12324365601
"N31",12.16,0.00520368167998328,0.137345162024583,282,"Clump",NA,NA,0.0378876227111072
"H219",12.16,0.00520368167998328,0.124715721838414,310,"Clump","Bottom",NA,0.041724343998308
"N119",12.16,0.012141923919961,0.179969522652901,282,"Clump","Bottom",NA,0.0674665562311822
