"ID","size","tissue","shell","clump.size","type","layer","fouling","body"
"C1",7.9,0.00691441539576313,0.0654162946002749,1,"Singleton",NA,NA,0.105698670920044
"A2",8.29,0.00391756696258001,0.0497961660560474,1,"Singleton",NA,NA,0.0786720599768794
"A1",6.84,0.0112456715241059,0.0930123377754752,1,"Singleton",NA,NA,0.12090515939135
"B2",6.55,0.00867780683563907,0.0597391440505571,1,"Singleton",NA,NA,0.145261653369105
"B4",8.37,0.0113777734255376,0.0674597856246943,1,"Singleton",NA,NA,0.168660088676188
"B1",9.24,0.00950655845480307,0.071481081200734,1,"Singleton",NA,NA,0.132994049545874
"B5",10.53,0.00524174339112925,0.0534447976168295,1,"Singleton",NA,NA,0.0980777105511698
"B3",10.25,0.009568350963173,0.0847369501409901,1,"Singleton",NA,NA,0.112918283549888
"E17",7.27,0.00915374355621354,0.0363917149394455,38,"Mono",NA,NA,0.251533723306116
"E5",6.71,0.00799884000259365,0.0655451308771724,38,"Mono",NA,NA,0.122035609595211
"E10",7.96,0.00674004074107613,0.0520008024296611,38,"Mono",NA,NA,0.12961416797737
"E9",8.57,0.0140079797229098,0.0420055793737648,38,"Mono",NA,NA,0.33347902663756
"E1",7.12,0.00982121108709342,0.0745440890928715,38,"Mono",NA,NA,0.131750366884993
"E16",7.6,0.0052532003560899,0.0617312440806684,38,"Mono",NA,NA,0.0850979181502513
"E11",8.38,0.00566600176367043,0.0482657767829514,38,"Mono",NA,NA,0.117391703631957
"E12",8.39,0.00376215733545093,0.0549710400464175,38,"Mono",NA,NA,0.068438896776815
"E13",10,0.00624008417910572,0.0558450909235952,38,"Mono",NA,NA,0.111739171266515
"E15",14.11,0.00552978418282172,0.050072857450434,38,"Mono",NA,NA,0.110434763749912
"E18",15.24,0.00626975288419058,0.0510887913046979,38,"Mono",NA,NA,0.122722670160608
"E19",13.87,0.00861690244236884,0.0678822477445117,38,"Mono",NA,NA,0.126938967530955
"E14",15.59,0.00534254943005301,0.0498484094124391,38,"Mono",NA,NA,0.107175925832447
"H9",7.2,0.00315255372285143,0.0534627859493203,28,"Mono",NA,NA,0.0589672548273086
"H15",7.58,0.00795020807699179,0.0552918036531044,28,"Mono",NA,NA,0.143786376130369
"H3",7.37,0.00582744706760123,0.0649675065378933,28,"Mono",NA,NA,0.0896978717230326
"H18",7.39,0.00866156551186296,0.0644605210034773,28,"Mono",NA,NA,0.134370082292629
"H8",8.56,0.00878956269262246,0.0664635163267621,28,"Mono",NA,NA,0.132246428994357
"H16",8.6,0.00692185071049223,0.0735705875217433,28,"Mono",NA,NA,0.0940844832650892
"H12",10.88,0.00704090127474728,0.0761781559073033,28,"Mono",NA,NA,0.0924267749840904
"G18",7.33,0.00593549837379444,0.0482290840344585,48,"Mono",NA,NA,0.123068859643979
"G20",7.28,0.00607424366938222,0.0569601888947838,48,"Mono",NA,NA,0.106640160210889
"G1",7.91,0.00458996681157872,0.0549935196558243,48,"Mono",NA,NA,0.0834637761013466
"G4",8.72,0.00660550891006819,0.0460967614404587,48,"Mono",NA,NA,0.143296594026464
"G7",8.94,0.00759077587686575,0.0557611576778127,48,"Mono",NA,NA,0.136130170050004
"G5",10.96,0.00610569276787612,0.0682343964812073,48,"Mono",NA,NA,0.0894811573450015
"G11",12.62,0.00474109368337098,0.052249122899336,48,"Mono",NA,NA,0.090740158308595
"F1",7.39,0.00577437700790864,0.0471057653486949,48,"Mono",NA,NA,0.122583232968714
"F7",7.2,0.00315255372285143,0.0534627859493203,48,"Mono",NA,NA,0.0589672548273086
"F9",8.08,0.00854405493241212,0.0593762548406012,48,"Mono",NA,NA,0.143896831407591
"F17",14.3,0.00590748328017436,0.0529542176272844,48,"Mono",NA,NA,0.111558314802305
"F16",16.82,0.00557246661154173,0.0552043657265822,48,"Mono",NA,NA,0.10094249862667
"K98",7.2,0.00630510744570285,0.0668284824366504,116,"Clump",NA,"Fouling_QM",0.0943476077236938
